['980', '496', '432', '217', '924']
['998', '911', '396', '779', '384']
['299', '120', '171', '249', '47']
['331', '326', '537', '180', '100']
['523', '297', '995', '732', '763']
['821', '601', '439', '808', '465']
['509', '692', '413', '187', '235']
['733', '444', '593', '794', '98']
['109', '220', '703', '565', '145']
['372', '754', '319', '659', '928']
['478', '853', '11', '881', '517']
['607', '193', '878', '611', '883']
['570', '186', '739', '32', '454']
['177', '78', '573', '819', '728']
['574', '223', '947', '961', '51']
['429', '785', '876', '431', '651']
['665', '849', '702', '269', '904']
['827', '530', '959', '528', '503']
['257', '654', '956', '861', '176']
['127', '102', '3', '398', '2']
['512', '792', '657', '597', '482']
['737', '141', '856', '354', '350']
['303', '954', '271', '255', '722']
['681', '765', '287', '862', '693']
['107', '907', '531', '986', '311']
['132', '55', '815', '771', '897']
['206', '931', '20', '677', '381']
['339', '720', '4', '335', '671']
['336', '280', '678', '906', '971']
['491', '306', '178', '397', '757']
['298', '852', '45', '865', '858']
['0', '14', '689', '370', '983']
['919', '673', '752', '165', '203']
['164', '341', '844', '963', '934']
['557', '447', '142', '138', '619']
['383', '894', '939', '596', '214']
['401', '22', '54', '441', '267']
['362', '421', '824', '161', '346']
['649', '302', '139', '851', '502']
['261', '715', '796', '407', '836']
['599', '475', '321', '682', '833']
['811', '981', '588', '721', '847']
['839', '12', '238', '854', '41']
['30', '227', '112', '756', '8']
['804', '974', '155', '711', '653']
['419', '330', '970', '233', '244']
['685', '480', '378', '879', '487']
['213', '978', '289', '514', '373']
['501', '473', '377', '85', '903']
['691', '613', '199', '908', '670']
['42', '577', '571', '551', '810']
['197', '784', '809', '944', '672']
['90', '356', '948', '83', '937']
['436', '246', '790', '985', '912']
['645', '274', '935', '79', '29']
['266', '942', '548', '458', '676']
['466', '620', '479', '642', '909']
['979', '37', '635', '617', '179']
['609', '840', '158', '857', '896']
['388', '450', '64', '625', '260']
['87', '623', '589', '993', '964']
['872', '245', '408', '705', '892']
['990', '156', '310', '361', '114']
['580', '349', '48', '442', '848']
['320', '211', '606', '364', '489']
['152', '910', '343', '250', '74']
['166', '344', '641', '219', '66']
['130', '646', '499', '562', '534']
['918', '376', '905', '533', '751']
['485', '636', '86', '159', '181']
['282', '338', '648', '814', '697']
['393', '115', '946', '18', '262']
['823', '535', '569', '284', '997']
['553', '631', '457', '409', '776']
['451', '891', '578', '300', '363']
['316', '638', '82', '782', '880']
['125', '859', '329', '281', '698']
['205', '718', '521', '468', '494']
['568', '137', '536', '826', '481']
['945', '902', '290', '151', '555']
['73', '242', '368', '340', '793']
['149', '795', '734', '208', '427']
['322', '379', '25', '898', '216']
['434', '128', '587', '992', '422']
['198', '445', '899', '873', '559']
['93', '987', '761', '486', '348']
['452', '800', '661', '334', '744']
['40', '50', '59', '564', '973']
['129', '16', '210', '375', '365']
['352', '916', '19', '35', '982']
['218', '75', '972', '196', '390']
['575', '430', '470', '355', '632']
['342', '658', '315', '33', '866']
['435', '933', '438', '772', '755']
['202', '775', '292', '215', '901']
['787', '730', '15', '538', '639']
['131', '103', '556', '113', '704']
['558', '949', '147', '65', '495']
['258', '943', '357', '662', '510']
['669', '118', '6', '913', '474']
['590', '887', '630', '860', '194']
['351', '660', '273', '650', '914']
['160', '545', '283', '380', '124']
['81', '221', '957', '358', '741']
['53', '105', '767', '500', '96']
['977', '554', '309', '224', '189']
['395', '69', '314', '136', '359']
['389', '966', '726', '716', '679']
['988', '332', '614', '387', '694']
['869', '655', '812', '135', '758']
['864', '770', '618', '788', '463']
['99', '713', '225', '175', '640']
['766', '328', '188', '735', '664']
['279', '586', '232', '540', '484']
['747', '148', '684', '425', '542']
['68', '846', '668', '318', '122']
['923', '886', '416', '333', '456']
['687', '561', '723', '403', '467']
['748', '835', '462', '23', '885']
['497', '140', '622', '629', '511']
['182', '633', '789', '275', '801']
['44', '736', '868', '43', '725']
['828', '546', '602', '841', '209']
['97', '612', '92', '719', '143']
['932', '967', '600', '106', '675']
['969', '798', '666', '121', '576']
['313', '498', '360', '91', '277']
['743', '317', '191', '579', '288']
['307', '236', '984', '525', '399']
['402', '295', '477', '870', '989']
['268', '488', '265', '780', '252']
['417', '777', '369', '256', '10']
['786', '700', '410', '49', '845']
['976', '822', '101', '701', '222']
['783', '938', '529', '628', '637']
['312', '688', '598', '708', '805']
['615', '520', '337', '522', '829']
['532', '7', '831', '88', '541']
['762', '243', '1', '119', '241']
