['603', '66', '508', '535', '35', '40', '384', '812', '619', '188', '820', '724', '782', '79', '580', '349', '978', '859', '55', '178']
['843', '270', '691', '795', '769', '546', '345', '841', '621', '817', '930', '678', '297', '494', '675', '584', '586', '102', '74', '926']
['269', '602', '179', '676', '20', '330', '600', '453', '806', '253', '476', '290', '948', '585', '325', '30', '375', '993', '860', '337']
['705', '323', '277', '834', '764', '606', '540', '657', '181', '462', '940', '180', '484', '472', '733', '390', '222', '809', '45', '474']
['522', '65', '991', '986', '635', '791', '954', '247', '729', '87', '688', '610', '358', '471', '941', '80', '96', '612', '575', '576']
['997', '796', '90', '668', '108', '369', '721', '558', '201', '871', '344', '58', '674', '424', '313', '656', '22', '152', '927', '328']
['200', '451', '838', '793', '777', '210', '588', '977', '943', '673', '81', '239', '473', '693', '114', '861', '895', '529', '203', '992']
['355', '202', '784', '422', '60', '140', '933', '642', '897', '505', '151', '15', '70', '191', '845', '256', '521', '430', '945', '746']
['124', '996', '984', '741', '851', '554', '732', '448', '979', '551', '374', '46', '8', '316', '206', '329', '745', '428', '570', '980']
['373', '538', '598', '126', '420', '643', '754', '990', '757', '166', '469', '801', '438', '748', '914', '761', '683', '730', '397', '641']
['0', '350', '658', '12', '466', '618', '775', '346', '536', '284', '875', '118', '766', '752', '667', '396', '506', '110', '814', '742']
['295', '531', '163', '792', '976', '867', '811', '386', '116', '402', '566', '392', '31', '243', '413', '932', '109', '524', '839', '680']
['368', '709', '335', '155', '957', '519', '711', '51', '679', '671', '685', '771', '383', '193', '499', '923', '2', '258', '853', '864']
['478', '630', '917', '299', '366', '686', '525', '717', '64', '246', '394', '481', '899', '113', '408', '347', '491', '298', '998', '117']
['351', '219', '768', '185', '854', '85', '798', '479', '836', '595', '82', '973', '893', '894', '692', '937', '220', '454', '320', '209']
['829', '718', '850', '622', '249', '470', '28', '956', '533', '725', '391', '631', '549', '457', '97', '737', '293', '189', '706', '467']
['781', '75', '261', '154', '593', '304', '928', '652', '892', '819', '758', '296', '426', '983', '315', '371', '571', '949', '251', '382']
['134', '204', '970', '162', '234', '190', '7', '14', '128', '557', '443', '26', '6', '518', '885', '492', '510', '361', '32', '245']
['886', '17', '955', '953', '211', '873', '99', '24', '98', '379', '302', '144', '907', '445', '175', '840', '306', '615', '142', '223']
['105', '169', '971', '591', '655', '800', '27', '963', '130', '962', '228', '687', '487', '73', '365', '133', '107', '496', '560', '556']
['960', '132', '517', '235', '359', '590', '342', '400', '785', '139', '477', '647', '354', '16', '553', '999', '912', '377', '69', '19']
['332', '989', '638', '911', '704', '92', '317', '842', '830', '446', '147', '981', '199', '512', '904', '240', '38', '767', '72', '661']
['883', '664', '67', '255', '278', '707', '723', '749', '174', '770', '167', '921', '500', '821', '340', '103', '161', '213', '825', '459']
['11', '237', '1', '458', '950', '555', '238', '568', '362', '339', '922', '10', '869', '744', '224', '62', '367', '727', '516', '36']
['281', '503', '565', '461', '336', '364', '214', '395', '824', '925', '604', '271', '822', '708', '660', '42', '548', '774', '736', '449']
['514', '582', '486', '938', '639', '63', '753', '183', '280', '634', '352', '968', '848', '866', '34', '881', '303', '314', '23', '779']
['285', '106', '539', '56', '901', '404', '406', '697', '578', '403', '5', '312', '121', '910', '338', '719', '37', '501', '632', '654']
['164', '756', '624', '447', '475', '626', '301', '663', '319', '712', '229', '309', '794', '594', '888', '909', '807', '939', '649', '165']
['145', '504', '609', '115', '150', '561', '677', '416', '648', '47', '378', '826', '802', '507', '889', '232', '898', '701', '765', '3']
['212', '640', '415', '160', '122', '564', '192', '880', '61', '868', '480', '111', '694', '552', '629', '207', '734', '511', '918', '431']
['620', '900', '425', '125', '456', '52', '421', '18', '931', '563', '334', '208', '217', '4', '88', '242', '172', '195', '870', '173']
['849', '405', '310', '662', '399', '967', '828', '331', '946', '903', '627', '975', '872', '348', '433', '216', '205', '318', '920', '808']
['543', '104', '776', '488', '682', '236', '100', '196', '489', '465', '502', '783', '407', '410', '813', '341', '159', '311', '550', '385']
['562', '427', '432', '292', '444', '887', '143', '495', '653', '690', '43', '286', '418', '372', '611', '728', '985', '972', '534', '440']
['786', '515', '929', '71', '587', '381', '715', '393', '696', '541', '156', '288', '862', '170', '376', '915', '387', '233', '542', '608']
['123', '78', '659', '637', '879', '137', '597', '936', '429', '273', '684', '699', '252', '291', '308', '136', '194', '485', '935', '863']
['68', '613', '599', '763', '589', '94', '547', '988', '755', '53', '856', '441', '343', '356', '625', '969', '645', '735', '289', '601']
['442', '231', '523', '266', '187', '526', '401', '294', '831', '722', '545', '607', '952', '322', '50', '241', '227', '21', '644', '605']
['197', '138', '760', '93', '388', '230', '731', '698', '884', '669', '959', '650', '198', '398', '33', '581', '857', '460', '852', '670']
['778', '726', '326', '934', '41', '804', '497', '148', '544', '703', '436', '225', '259', '666', '157', '257', '215', '846', '493', '324']
['267', '994', '858', '9', '982', '596', '916', '254', '835', '248', '772', '799', '738', '537', '171', '84', '221', '274', '129', '947']
['876', '260', '13', '455', '153', '184', '409', '740', '833', '750', '263', '623', '307', '283', '896', '353', '965', '762', '713', '357']
['574', '509', '226', '633', '76', '57', '83', '530', '567', '747', '944', '272', '59', '995', '890', '573', '964', '974', '751', '773']
['250', '287', '844', '262', '583', '411', '452', '966', '790', '577', '789', '651', '439', '803', '282', '919', '95', '39', '468', '902']
['276', '559', '333', '168', '906', '450', '119', '48', '437', '759', '264', '434', '908', '832', '616', '305', '710', '423', '380', '49']
['878', '127', '265', '665', '855', '177', '961', '818', '816', '389', '572', '321', '951', '91', '882', '528', '54', '532', '689', '874']
['805', '464', '498', '617', '788', '86', '646', '787', '865', '279', '182', '628', '275', '958', '218', '891', '89', '837', '739', '327']
['797', '810', '300', '672', '827', '176', '681', '942', '29', '370', '569', '417', '482', '720', '360', '435', '702', '268', '579', '149']
['414', '924', '135', '695', '158', '25', '520', '146', '716', '815', '780', '131', '112', '614', '987', '244', '186', '490', '141', '847']
['120', '419', '714', '513', '700', '44', '77', '483', '527', '877', '363', '101', '743', '412', '913', '636', '905', '823', '463', '592']
