['37', '102', '586', '808', '84', '417', '677']
['729', '186', '125', '254', '440', '255', '615']
['425', '101', '836', '347', '409', '837', '48']
['901', '173', '234', '111', '194', '495', '292']
['141', '151', '289', '472', '871', '631', '957']
['3', '285', '954', '432', '924', '5', '135']
['363', '94', '515', '529', '971', '679', '734']
['126', '300', '312', '692', '532', '325', '671']
['275', '299', '583', '133', '218', '626', '559']
['198', '331', '598', '596', '687', '683', '24']
['503', '410', '256', '632', '577', '251', '343']
['530', '128', '118', '444', '493', '193', '341']
['811', '388', '55', '711', '720', '157', '54']
['433', '506', '696', '398', '461', '280', '434']
['272', '736', '965', '315', '278', '241', '505']
['243', '848', '309', '951', '95', '972', '332']
['421', '854', '653', '916', '446', '699', '463']
['328', '606', '411', '390', '528', '935', '835']
['689', '496', '437', '786', '449', '0', '622']
['612', '537', '802', '654', '373', '886', '688']
['914', '454', '149', '789', '883', '574', '214']
['296', '228', '803', '451', '823', '545', '167']
['357', '608', '209', '302', '475', '812', '477']
['20', '455', '641', '458', '800', '892', '140']
['884', '616', '942', '161', '573', '76', '143']
['659', '964', '507', '402', '38', '414', '21']
['227', '436', '78', '902', '441', '399', '306']
['320', '814', '571', '946', '841', '833', '614']
['108', '881', '273', '340', '939', '947', '462']
['668', '781', '825', '352', '499', '215', '67']
['603', '605', '244', '116', '222', '960', '790']
['464', '875', '119', '896', '882', '253', '594']
['813', '675', '491', '718', '962', '859', '511']
['395', '561', '840', '327', '349', '890', '757']
['68', '791', '552', '578', '22', '930', '864']
['114', '894', '620', '308', '319', '183', '604']
['387', '706', '611', '205', '355', '322', '400']
['624', '549', '14', '592', '383', '113', '311']
['237', '384', '460', '735', '745', '375', '909']
['637', '652', '855', '643', '801', '838', '426']
['61', '284', '938', '522', '518', '150', '856']
['595', '722', '123', '662', '610', '482', '785']
['6', '470', '550', '431', '445', '317', '655']
['177', '494', '12', '389', '767', '354', '645']
['798', '690', '910', '746', '370', '673', '263']
['350', '448', '779', '153', '564', '176', '581']
['933', '92', '423', '115', '232', '952', '967']
['756', '866', '557', '165', '900', '233', '885']
['919', '867', '524', '730', '329', '795', '381']
['728', '917', '40', '602', '945', '221', '531']
['913', '905', '703', '852', '45', '591', '406']
['314', '580', '35', '824', '834', '607', '733']
['548', '585', '394', '301', '760', '876', '708']
['625', '59', '742', '403', '361', '405', '424']
['765', '931', '31', '112', '1', '714', '97']
['627', '146', '286', '178', '568', '776', '109']
['558', '726', '297', '713', '30', '270', '44']
['88', '940', '303', '782', '184', '247', '203']
['235', '28', '479', '915', '582', '555', '70']
['103', '969', '797', '8', '18', '42', '667']
['551', '538', '330', '71', '121', '509', '676']
['339', '744', '334', '872', '279', '887', '805']
['663', '773', '180', '874', '633', '895', '849']
['601', '723', '860', '204', '526', '392', '358']
['796', '268', '904', '336', '359', '593', '259']
['117', '725', '456', '681', '219', '428', '897']
['294', '487', '657', '295', '732', '695', '291']
['271', '104', '49', '154', '197', '107', '283']
['447', '52', '521', '230', '265', '639', '17']
['25', '921', '144', '516', '508', '535', '106']
['553', '678', '766', '333', '277', '238', '569']
['804', '846', '156', '231', '380', '542', '845']
['4', '175', '239', '541', '105', '152', '576']
['85', '628', '274', '473', '172', '562', '474']
['82', '533', '817', '60', '504', '202', '138']
['923', '248', '407', '710', '702', '949', '145']
['821', '51', '96', '691', '489', '127', '492']
['412', '697', '246', '63', '307', '932', '731']
['122', '26', '658', '777', '345', '442', '741']
['490', '843', '523', '751', '680', '182', '682']
['674', '100', '769', '755', '753', '818', '749']
['213', '131', '53', '498', '264', '98', '158']
['408', '142', '648', '649', '29', '466', '754']
['170', '819', '563', '353', '191', '225', '941']
['480', '701', '481', '520', '323', '318', '716']
