['805', '568', '849', '23', '419', '876', '938', '195', '412', '528', '937', '428', '520', '173', '237', '686', '955', '156', '211', '259']
['84', '74', '658', '50', '566', '225', '53', '160', '386', '99', '532', '181', '788', '714', '535', '825', '400', '828', '976', '19']
['62', '648', '699', '918', '52', '168', '306', '302', '940', '141', '507', '688', '502', '812', '702', '314', '870', '499', '864', '224']
['605', '207', '404', '200', '123', '994', '483', '356', '49', '915', '315', '914', '442', '77', '240', '811', '968', '7', '357', '852']
['93', '734', '3', '463', '555', '340', '479', '942', '627', '324', '310', '964', '927', '858', '930', '14', '725', '706', '711', '821']
['407', '142', '639', '331', '59', '603', '743', '90', '104', '198', '307', '252', '640', '280', '593', '267', '951', '548', '888', '344']
['464', '949', '272', '816', '925', '416', '42', '439', '824', '538', '563', '433', '276', '197', '733', '622', '451', '155', '676', '231']
['39', '646', '602', '713', '717', '254', '570', '998', '782', '411', '829', '794', '190', '473', '368', '827', '145', '250', '201', '810']
['98', '823', '65', '791', '109', '837', '471', '41', '396', '898', '910', '844', '146', '385', '29', '9', '696', '542', '972', '25']
['192', '708', '596', '11', '893', '441', '789', '719', '637', '808', '444', '830', '894', '490', '465', '801', '369', '814', '526', '613']
['486', '665', '381', '541', '843', '408', '285', '171', '429', '848', '448', '857', '765', '187', '10', '982', '299', '842', '723', '633']
['919', '422', '478', '987', '921', '454', '577', '800', '799', '882', '901', '161', '334', '701', '923', '769', '16', '434', '172', '983']
['220', '750', '773', '838', '73', '68', '740', '323', '961', '219', '537', '503', '669', '675', '393', '119', '424', '113', '177', '747']
['54', '510', '641', '24', '897', '832', '990', '836', '86', '704', '759', '756', '346', '158', '150', '552', '632', '522', '247', '840']
['392', '389', '268', '933', '116', '687', '124', '79', '228', '738', '63', '710', '203', '130', '786', '584', '772', '671', '846', '598']
['913', '583', '114', '363', '620', '379', '969', '446', '159', '595', '712', '847', '266', '239', '636', '856', '908', '270', '655', '265']
['87', '1', '550', '327', '75', '365', '212', '895', '571', '917', '343', '900', '612', '841', '413', '619', '886', '132', '138', '26']
['377', '579', '32', '185', '892', '83', '549', '745', '366', '962', '255', '452', '804', '749', '885', '724', '466', '37', '430', '292']
['238', '12', '992', '608', '642', '946', '354', '787', '874', '726', '403', '797', '770', '208', '560', '513', '253', '309', '730', '122']
['818', '580', '492', '223', '943', '647', '974', '263', '170', '118', '589', '129', '438', '227', '833', '462', '803', '193', '652', '234']
['879', '111', '191', '199', '242', '506', '398', '461', '293', '209', '468', '703', '71', '244', '935', '382', '973', '920', '436', '731']
['966', '317', '475', '722', '8', '28', '355', '869', '588', '373', '873', '519', '449', '301', '337', '524', '643', '673', '963', '981']
['997', '999', '18', '455', '262', '776', '758', '521', '670', '447', '121', '543', '645', '125', '544', '395', '530', '993', '785', '480']
['611', '554', '649', '497', '651', '922', '189', '481', '850', '140', '909', '487', '387', '578', '590', '143', '70', '501', '214', '948']
['839', '311', '204', '319', '489', '275', '134', '755', '878', '147', '739', '329', '903', '694', '44', '601', '774', '732', '822', '991']
['320', '929', '700', '303', '298', '763', '316', '410', '790', '880', '954', '971', '345', '592', '226', '417', '609', '809', '27', '860']
['351', '527', '664', '484', '764', '80', '988', '394', '565', '952', '30', '586', '957', '707', '599', '358', '288', '107', '401', '61']
['854', '547', '213', '164', '867', '175', '780', '425', '350', '115', '746', '154', '406', '347', '21', '188', '38', '631', '232', '450']
['131', '284', '591', '761', '496', '95', '391', '371', '604', '495', '866', '985', '372', '294', '330', '269', '817', '110', '871', '970']
['720', '692', '423', '569', '960', '638', '40', '644', '564', '458', '251', '912', '767', '202', '405', '375', '504', '359', '273', '100']
['69', '443', '216', '427', '399', '241', '249', '691', '685', '184', '221', '545', '626', '518', '133', '607', '290', '777', '760', '431']
['322', '905', '941', '339', '677', '516', '426', '546', '953', '348', '536', '36', '108', '634', '57', '744', '977', '540', '5', '572']
['445', '0', '163', '567', '517', '815', '31', '384', '287', '55', '137', '621', '470', '690', '845', '796', '248', '697', '20', '853']
['286', '349', '715', '883', '176', '418', '180', '300', '995', '681', '260', '139', '283', '376', '106', '45', '477', '243', '102', '861']
['4', '752', '152', '297', '235', '868', '194', '975', '256', '863', '667', '872', '668', '453', '361', '469', '494', '282', '196', '924']
['378', '215', '149', '911', '742', '727', '274', '978', '511', '581', '174', '798', '721', '295', '539', '881', '281', '754', '834', '606']
['271', '321', '781', '684', '891', '984', '784', '96', '793', '585', '127', '736', '491', '618', '768', '896', '304', '218', '728', '630']
['467', '534', '236', '120', '128', '153', '246', '15', '397', '210', '514', '928', '333', '76', '735', '94', '693', '835', '205', '561']
['582', '989', '485', '610', '792', '509', '751', '352', '459', '889', '600', '959', '336', '533', '958', '82', '650', '148', '950', '877']
['862', '907', '902', '342', '151', '341', '420', '476', '680', '753', '802', '72', '980', '936', '659', '906', '488', '362', '457', '47']
