['560', '706', '82', '529', '730', '446', '150', '618', '63', '85', '99', '755', '72', '540', '379', '186', '77', '679', '635', '607', '220', '376', '210', '589', '19', '264', '312', '778', '600', '149', '233', '639']
['649', '513', '769', '25', '444', '196', '790', '557', '359', '541', '736', '700', '725', '791', '550', '192', '698', '271', '329', '364', '124', '585', '746', '542', '132', '715', '783', '265', '764', '108', '784', '410']
['74', '594', '299', '632', '628', '404', '159', '153', '23', '599', '592', '676', '319', '745', '351', '31', '775', '1', '394', '304', '315', '419', '281', '566', '240', '420', '296', '397', '416', '324', '360', '770']
['321', '122', '259', '498', '531', '187', '338', '198', '160', '568', '50', '191', '242', '758', '717', '754', '56', '392', '206', '687', '777', '234', '36', '407', '720', '669', '403', '517', '471', '604', '789', '98']
['561', '702', '102', '512', '253', '17', '118', '779', '22', '322', '492', '668', '269', '200', '52', '459', '79', '605', '458', '494', '694', '750', '345', '292', '197', '460', '134', '438', '254', '386', '241', '424']
['73', '485', '142', '522', '579', '103', '389', '110', '262', '491', '104', '225', '377', '483', '608', '549', '274', '395', '422', '798', '692', '70', '727', '347', '248', '30', '519', '518', '576', '209', '747', '105']
['408', '776', '141', '277', '681', '316', '671', '162', '361', '468', '411', '238', '366', '470', '690', '10', '536', '109', '437', '570', '2', '652', '532', '651', '308', '773', '525', '87', '42', '625', '665', '282']
['748', '337', '165', '218', '739', '148', '128', '545', '115', '290', '667', '83', '623', '202', '591', '661', '86', '788', '509', '731', '365', '270', '189', '479', '221', '630', '454', '465', '286', '554', '363', '544']
['427', '663', '5', '680', '71', '126', '774', '352', '752', '194', '342', '393', '375', '49', '258', '334', '450', '381', '326', '169', '107', '385', '501', '284', '245', '643', '3', '146', '413', '637', '703', '577']
['305', '768', '780', '199', '695', '285', '116', '507', '588', '431', '521', '97', '708', '508', '638', '185', '426', '500', '447', '662', '314', '555', '475', '387', '371', '320', '333', '461', '455', '231', '96', '749']
['620', '682', '368', '88', '252', '244', '601', '183', '405', '414', '287', '302', '537', '8', '214', '583', '67', '400', '712', '224', '130', '232', '648', '729', '433', '60', '327', '526', '125', '193', '797', '656']
['528', '516', '430', '69', '696', '144', '207', '432', '624', '473', '268', '743', '178', '785', '328', '448', '255', '469', '135', '575', '741', '402', '441', '228', '353', '619', '44', '466', '39', '415', '593', '609']
['348', '582', '101', '161', '289', '434', '538', '581', '590', '429', '295', '68', '158', '45', '553', '724', '229', '443', '732', '29', '602', '506', '34', '564', '728', '100', '406', '20', '154', '300', '164', '699']
['533', '445', '212', '55', '152', '514', '131', '250', '672', '640', '490', '136', '587', '331', '439', '617', '558', '343', '369', '297', '744', '367', '753', '761', '156', '612', '398', '46', '11', '569', '515', '213']
['489', '13', '771', '54', '711', '267', '678', '530', '266', '58', '423', '650', '622', '705', '179', '260', '546', '62', '358', '106', '170', '688', '683', '167', '323', '133', '94', '294', '208', '95', '412', '647']
['47', '543', '288', '584', '139', '527', '435', '89', '722', '659', '556', '48', '474', '291', '759', '562', '188', '33', '276', '278', '574', '344', '21', '147', '336', '684', '0', '18', '738', '307', '273', '237']
['737', '436', '781', '693', '548', '627', '261', '310', '256', '151', '355', '495', '113', '216', '401', '689', '499', '283', '388', '633', '740', '478', '51', '43', '251', '40', '318', '523', '796', '615', '658', '421']
['37', '428', '163', '35', '204', '177', '168', '127', '246', '616', '32', '280', '488', '675', '697', '335', '173', '535', '482', '263', '660', '559', '190', '311', '81', '247', '425', '534', '477', '184', '547', '374']
['201', '751', '453', '24', '357', '356', '325', '372', '573', '452', '677', '391', '166', '222', '631', '349', '180', '12', '653', '596', '567', '799', '409', '84', '53', '487', '610', '4', '539', '551', '28', '766']
['257', '378', '666', '155', '417', '440', '735', '306', '595', '380', '580', '794', '382', '137', '451', '157', '373', '27', '181', '6', '15', '719', '41', '399', '644', '340', '464', '171', '341', '510', '14', '726']
['734', '66', '714', '317', '140', '613', '176', '670', '301', '172', '7', '765', '614', '9', '182', '78', '511', '75', '370', '275', '65', '496', '362', '239', '462', '646', '236', '497', '80', '787', '782', '718']
['129', '143', '112', '384', '563', '293', '249', '59', '174', '205', '91', '16', '332', '313', '503', '92', '195', '339', '686', '243', '657', '636', '723', '786', '449', '710', '330', '227', '520', '772', '219', '76']
['611', '674', '673', '767', '795', '524', '655', '175', '383', '502', '354', '223', '309', '654', '120', '138', '390', '701', '552', '235', '642', '226', '463', '230', '721', '38', '757', '629', '272', '26', '480', '457']
['211', '456', '691', '442', '61', '641', '298', '484', '621', '119', '346', '571', '713', '90', '493', '626', '742', '685', '645', '793', '578', '504', '565', '603', '716', '279', '486', '123', '505', '472', '418', '396']
['762', '481', '350', '303', '572', '145', '476', '117', '598', '597', '704', '217', '709', '215', '121', '203', '114', '792', '57', '64', '664', '763', '111', '93', '467', '707', '760', '634', '733', '606', '756', '586']
