['692', '53', '197', '700', '556', '90', '959', '489', '307', '860', '398', '24', '209', '896', '331', '52', '630', '550', '170', '827', '107', '264', '914', '586', '847', '6', '804', '302', '678', '584', '625', '835']
['385', '395', '801', '221', '857', '761', '161', '400', '282', '252', '574', '233', '262', '615', '261', '540', '381', '180', '885', '418', '205', '156', '127', '383', '402', '34', '709', '57', '438', '627', '839', '509']
['255', '216', '848', '71', '167', '462', '144', '285', '831', '829', '555', '227', '505', '513', '778', '113', '938', '142', '721', '547', '911', '283', '309', '531', '901', '861', '920', '391', '826', '691', '680', '5']
['130', '933', '530', '515', '231', '355', '334', '549', '87', '743', '579', '443', '609', '628', '576', '783', '702', '904', '559', '506', '488', '822', '589', '139', '592', '179', '751', '469', '277', '583', '544', '271']
['957', '612', '738', '121', '942', '710', '270', '771', '396', '394', '941', '50', '877', '618', '833', '813', '773', '697', '665', '202', '201', '401', '310', '25', '63', '931', '484', '284', '147', '704', '165', '240']
['29', '329', '524', '568', '903', '404', '228', '659', '60', '870', '760', '718', '64', '431', '945', '701', '673', '588', '855', '516', '705', '318', '626', '439', '196', '42', '74', '483', '485', '780', '367', '954']
['652', '467', '229', '353', '940', '184', '772', '226', '765', '135', '35', '114', '533', '500', '542', '324', '134', '495', '699', '656', '187', '871', '523', '791', '946', '856', '880', '463', '219', '296', '287', '935']
['927', '541', '872', '644', '281', '915', '267', '68', '429', '714', '803', '726', '758', '434', '446', '390', '892', '3', '335', '902', '863', '535', '143', '455', '716', '460', '603', '742', '93', '887', '59', '733']
['498', '818', '736', '797', '809', '414', '218', '160', '532', '921', '214', '939', '785', '698', '346', '292', '890', '786', '374', '48', '192', '749', '427', '212', '7', '910', '41', '693', '269', '961', '879', '747']
['843', '419', '722', '492', '924', '953', '490', '906', '932', '916', '893', '794', '306', '502', '886', '244', '164', '178', '590', '491', '737', '27', '279', '294', '241', '185', '138', '327', '19', '95', '566', '105']
['409', '683', '316', '451', '99', '824', '706', '464', '249', '344', '642', '864', '866', '646', '420', '140', '619', '347', '654', '303', '397', '653', '304', '83', '681', '153', '802', '858', '518', '166', '636', '435']
['311', '224', '459', '582', '286', '607', '605', '614', '175', '432', '527', '223', '731', '411', '844', '15', '313', '894', '841', '215', '273', '423', '28', '543', '759', '235', '425', '120', '519', '13', '337', '276']
['577', '837', '373', '133', '595', '521', '634', '947', '641', '480', '246', '177', '930', '755', '522', '265', '119', '382', '36', '470', '299', '748', '371', '764', '754', '30', '689', '538', '362', '131', '676', '851']
['729', '621', '650', '787', '230', '944', '913', '690', '562', '635', '745', '766', '300', '895', '173', '386', '514', '412', '442', '323', '529', '387', '298', '585', '510', '934', '91', '358', '648', '512', '80', '61']
['774', '253', '242', '662', '10', '611', '528', '501', '806', '768', '465', '814', '763', '416', '31', '854', '661', '739', '437', '356', '239', '781', '388', '254', '669', '206', '548', '474', '149', '274', '403', '84']
['378', '593', '225', '604', '597', '873', '591', '348', '315', '26', '169', '504', '553', '608', '191', '664', '832', '668', '782', '711', '76', '75', '825', '171', '882', '136', '424', '757', '865', '461', '257', '88']
['55', '17', '350', '211', '775', '111', '881', '51', '712', '476', '159', '297', '811', '330', '12', '909', '8', '810', '694', '319', '405', '116', '162', '251', '560', '243', '43', '376', '728', '649', '23', '740']
['572', '354', '148', '117', '789', '16', '108', '54', '72', '869', '800', '122', '363', '94', '364', '638', '741', '295', '632', '345', '22', '629', '517', '672', '830', '868', '369', '259', '380', '449', '430', '601']
['238', '525', '581', '725', '951', '301', '58', '948', '479', '563', '468', '49', '445', '372', '623', '557', '220', '878', '77', '928', '98', '308', '444', '770', '923', '213', '796', '193', '637', '452', '181', '850']
['289', '278', '375', '616', '86', '955', '575', '493', '328', '125', '717', '719', '32', '587', '44', '499', '56', '520', '132', '18', '456', '152', '428', '245', '389', '158', '392', '823', '440', '929', '807', '919']
['907', '360', '204', '124', '406', '341', '45', '145', '536', '777', '62', '657', '104', '472', '433', '769', '458', '39', '408', '598', '762', '453', '624', '675', '154', '247', '97', '707', '497', '859', '960', '234']
['176', '288', '545', '263', '194', '37', '280', '421', '168', '734', '883', '526', '103', '481', '96', '82', '695', '46', '339', '67', '325', '222', '336', '784', '922', '889', '275', '183', '949', '69', '357', '936']
['905', '724', '620', '410', '610', '756', '4', '569', '622', '613', '203', '11', '546', '643', '343', '73', '640', '730', '651', '767', '172', '573', '686', '399', '684', '805', '746', '146', '332', '918', '713', '477']
['952', '884', '908', '671', '494', '655', '321', '552', '507', '365', '102', '580', '110', '943', '567', '266', '900', '182', '250', '101', '631', '129', '377', '210', '753', '897', '571', '874', '808', '846', '393', '1']
['687', '912', '115', '85', '128', '65', '674', '558', '317', '564', '795', '679', '157', '534', '578', '151', '790', '349', '100', '816', '79', '503', '950', '155', '819', '2', '720', '840', '340', '708', '190', '925']
['852', '186', '838', '379', '293', '828', '359', '342', '78', '617', '735', '487', '188', '820', '174', '436', '812', '112', '727', '290', '258', '237', '413', '788', '21', '272', '867', '561', '633', '606', '9', '670']
