['272', '372', '74', '705', '100', '499', '568', '124', '78', '7', '482', '719', '216', '548', '176', '677', '8', '321', '586', '665', '19', '318', '431', '387', '92', '656', '694', '186', '332', '718', '198', '359', '704', '224', '14', '256', '425', '192', '221', '472', '343', '418', '336', '437', '454', '109', '713', '527', '507', '407']
['13', '273', '32', '710', '494', '685', '330', '75', '459', '749', '461', '671', '99', '104', '370', '107', '338', '500', '238', '377', '642', '703', '17', '0', '696', '497', '227', '587', '181', '721', '552', '350', '110', '479', '438', '279', '161', '640', '118', '729', '29', '567', '358', '727', '621', '357', '510', '215', '131', '453']
['312', '583', '112', '477', '460', '476', '202', '54', '81', '253', '401', '10', '12', '516', '150', '538', '168', '73', '20', '369', '220', '388', '394', '545', '468', '506', '708', '219', '734', '550', '225', '434', '745', '641', '247', '169', '588', '443', '361', '4', '137', '706', '26', '70', '386', '56', '670', '457', '737', '726']
['546', '688', '242', '24', '239', '421', '446', '51', '171', '360', '317', '300', '498', '535', '382', '553', '206', '114', '116', '562', '155', '170', '666', '254', '244', '632', '452', '436', '633', '248', '495', '69', '145', '152', '427', '716', '433', '440', '79', '95', '424', '557', '610', '46', '222', '662', '342', '530', '595', '517']
['364', '25', '601', '537', '251', '331', '18', '606', '426', '133', '162', '439', '123', '120', '399', '709', '271', '513', '634', '747', '702', '373', '259', '302', '339', '728', '232', '585', '313', '366', '280', '85', '667', '234', '203', '121', '467', '134', '691', '77', '571', '326', '594', '196', '180', '284', '589', '483', '488', '740']
['160', '80', '579', '122', '521', '441', '661', '544', '346', '197', '30', '351', '578', '593', '619', '39', '340', '355', '261', '262', '9', '165', '40', '275', '564', '60', '582', '68', '539', '106', '456', '608', '490', '515', '391', '660', '260', '207', '542', '194', '464', '547', '413', '717', '290', '185', '5', '289', '596', '139']
['604', '534', '149', '245', '182', '189', '208', '28', '628', '603', '683', '676', '193', '598', '157', '532', '723', '442', '246', '531', '61', '577', '44', '205', '314', '643', '212', '327', '415', '652', '71', '113', '175', '678', '136', '83', '492', '190', '563', '408', '620', '292', '429', '140', '406', '304', '108', '135', '623', '62']
['738', '344', '533', '576', '308', '233', '264', '218', '84', '183', '725', '484', '147', '129', '98', '376', '156', '249', '611', '352', '404', '223', '742', '315', '732', '522', '200', '335', '381', '591', '551', '115', '86', '111', '668', '353', '268', '572', '607', '293', '11', '448', '395', '609', '237', '529', '511', '365', '45', '605']
['518', '143', '178', '649', '270', '541', '445', '684', '463', '117', '38', '167', '66', '347', '505', '235', '635', '393', '278', '329', '333', '659', '674', '132', '187', '420', '158', '470', '711', '648', '559', '581', '450', '255', '580', '701', '37', '697', '555', '651', '475', '519', '309', '195', '478', '209', '305', '97', '22', '508']
['630', '199', '324', '422', '748', '306', '491', '480', '375', '41', '646', '622', '458', '142', '88', '681', '213', '191', '228', '402', '286', '378', '267', '164', '680', '526', '389', '599', '231', '337', '520', '148', '647', '188', '689', '600', '618', '64', '287', '682', '561', '629', '49', '465', '48', '741', '639', '616', '263', '31']
['241', '274', '310', '16', '82', '281', '349', '320', '673', '658', '549', '58', '34', '138', '96', '15', '297', '94', '72', '130', '173', '211', '471', '57', '707', '556', '617', '489', '294', '626', '282', '731', '356', '87', '502', '127', '523', '55', '345', '447', '277', '301', '653', '252', '693', '295', '432', '153', '645', '146']
['316', '612', '269', '624', '493', '141', '627', '411', '63', '736', '396', '93', '384', '380', '53', '417', '43', '214', '416', '204', '525', '89', '50', '368', '243', '615', '371', '105', '663', '435', '299', '501', '291', '730', '419', '735', '444', '398', '687', '325', '690', '288', '695', '602', '172', '65', '509', '566', '201', '90']
['714', '240', '638', '496', '76', '226', '590', '722', '2', '739', '3', '52', '166', '570', '528', '560', '699', '449', '743', '486', '466', '481', '692', '536', '400', '126', '119', '266', '296', '229', '367', '33', '686', '423', '334', '613', '575', '636', '392', '374', '597', '712', '504', '42', '128', '385', '383', '503', '410', '569']
['322', '403', '558', '265', '341', '698', '179', '474', '91', '724', '36', '631', '514', '669', '230', '379', '101', '258', '637', '144', '412', '210', '700', '59', '257', '654', '103', '540', '363', '524', '323', '428', '217', '657', '47', '469', '655', '664', '574', '650', '573', '715', '565', '21', '125', '733', '311', '487', '163', '67']
['625', '390', '473', '354', '102', '319', '405', '283', '23', '362', '298', '348', '414', '720', '675', '543', '177', '397', '455', '430', '744', '584', '672', '303', '614', '151', '328', '462', '27', '285', '746', '485', '409', '6', '276', '307', '1', '644', '159', '512', '174', '250', '154', '679', '35', '236', '184', '451', '592', '554']
