['728', '152', '783', '516', '283', '733', '178', '678', '719', '388', '596', '355', '170', '99', '342', '532', '717', '216', '477', '499', '273', '8', '254', '227', '331', '756', '166', '89', '599', '554', '145', '568', '760', '721', '451', '383', '790', '558', '390', '72', '294', '410', '527', '782', '688', '268', '391', '432', '300', '299']
['20', '263', '555', '275', '677', '644', '409', '67', '360', '161', '751', '439', '679', '6', '66', '113', '592', '281', '151', '726', '616', '169', '393', '164', '98', '690', '168', '196', '245', '57', '423', '510', '187', '514', '202', '792', '732', '56', '357', '238', '210', '324', '489', '434', '54', '618', '104', '475', '693', '290']
['625', '713', '301', '386', '609', '764', '347', '230', '686', '307', '310', '674', '480', '267', '471', '234', '65', '463', '736', '1', '25', '606', '436', '530', '375', '485', '91', '322', '771', '81', '415', '298', '374', '648', '387', '271', '628', '420', '433', '427', '765', '701', '363', '119', '724', '288', '739', '404', '444', '580']
['318', '675', '131', '673', '617', '537', '77', '4', '748', '369', '58', '573', '706', '656', '111', '538', '197', '507', '361', '247', '513', '488', '659', '286', '199', '223', '441', '332', '443', '133', '116', '478', '326', '211', '665', '292', '637', '793', '34', '416', '612', '179', '171', '403', '593', '582', '777', '417', '83', '92']
['661', '61', '278', '517', '259', '638', '46', '367', '504', '437', '80', '595', '709', '173', '425', '769', '200', '126', '548', '97', '208', '9', '334', '59', '115', '710', '566', '541', '456', '698', '715', '797', '345', '454', '226', '29', '683', '571', '0', '691', '559', '60', '353', '330', '395', '167', '505', '274', '23', '470']
['624', '758', '753', '498', '158', '285', '614', '767', '556', '687', '577', '101', '134', '426', '450', '750', '253', '71', '195', '41', '371', '521', '31', '328', '40', '203', '759', '757', '474', '344', '48', '335', '109', '696', '643', '567', '184', '542', '484', '94', '745', '317', '429', '96', '607', '411', '572', '86', '435', '540']
['768', '235', '502', '581', '515', '315', '206', '692', '636', '497', '646', '663', '419', '430', '512', '243', '774', '707', '702', '794', '634', '257', '786', '204', '652', '232', '174', '10', '464', '602', '666', '231', '413', '122', '132', '11', '280', '694', '237', '85', '412', '472', '76', '47', '716', '508', '265', '240', '645', '773']
['653', '725', '627', '401', '296', '469', '667', '528', '302', '228', '90', '714', '142', '633', '586', '626', '576', '431', '351', '5', '175', '597', '591', '523', '79', '140', '304', '657', '695', '680', '700', '137', '506', '112', '453', '26', '38', '534', '270', '95', '462', '727', '519', '509', '570', '795', '214', '785', '712', '722']
['711', '622', '242', '205', '520', '287', '384', '590', '400', '772', '565', '43', '320', '295', '224', '213', '50', '549', '639', '148', '49', '44', '635', '352', '87', '64', '201', '289', '198', '525', '376', '623', '682', '564', '35', '394', '604', '183', '350', '562', '524', '22', '544', '575', '671', '747', '662', '18', '121', '146']
['460', '461', '457', '654', '697', '366', '518', '610', '123', '207', '754', '731', '21', '165', '32', '476', '784', '103', '579', '408', '522', '313', '473', '676', '321', '551', '249', '368', '588', '752', '28', '730', '252', '546', '312', '70', '75', '560', '640', '615', '128', '325', '157', '215', '309', '17', '191', '458', '139', '88']
['583', '55', '563', '150', '629', '574', '708', '144', '319', '193', '380', '219', '501', '258', '483', '421', '684', '621', '124', '672', '354', '359', '603', '130', '349', '348', '16', '465', '147', '632', '578', '117', '381', '30', '338', '543', '418', '379', '155', '547', '24', '486', '746', '561', '107', '743', '262', '261', '78', '397']
['668', '12', '225', '266', '337', '531', '776', '102', '264', '106', '282', '491', '248', '244', '272', '529', '188', '136', '755', '744', '630', '190', '159', '720', '279', '798', '658', '655', '459', '620', '74', '641', '15', '550', '378', '761', '445', '154', '789', '557', '45', '256', '737', '734', '407', '185', '156', '118', '762', '108']
['611', '448', '37', '735', '500', '233', '389', '314', '482', '69', '466', '356', '220', '110', '585', '84', '33', '138', '553', '284', '336', '373', '209', '127', '365', '19', '192', '176', '452', '186', '422', '467', '162', '670', '114', '177', '39', '303', '358', '172', '492', '705', '153', '212', '787', '741', '308', '781', '340', '689']
['587', '73', '493', '396', '13', '455', '613', '536', '221', '82', '494', '189', '239', '255', '120', '293', '749', '631', '327', '649', '704', '269', '341', '775', '14', '414', '343', '311', '141', '526', '53', '651', '796', '125', '660', '766', '163', '276', '442', '260', '681', '487', '181', '503', '438', '664', '600', '3', '246', '449']
['392', '182', '217', '297', '333', '738', '699', '51', '490', '479', '218', '222', '468', '329', '594', '251', '323', '799', '149', '93', '143', '424', '36', '545', '535', '780', '685', '194', '723', '495', '399', '27', '129', '291', '306', '440', '236', '740', '305', '362', '364', '377', '605', '68', '763', '241', '642', '402', '398', '619']
['533', '135', '447', '718', '446', '372', '406', '100', '779', '584', '778', '385', '729', '382', '405', '791', '62', '511', '250', '703', '52', '7', '316', '277', '601', '647', '608', '788', '552', '742', '42', '339', '229', '428', '496', '539', '180', '346', '370', '160', '105', '2', '669', '650', '589', '569', '63', '770', '598', '481']
