['50', '269', '242', '460', '420', '153', '47', '184', '146', '94']
['74', '299', '389', '129', '110', '190', '218', '362', '360', '314']
['30', '421', '307', '10', '125', '417', '64', '19', '161', '84']
['210', '9', '116', '199', '443', '55', '380', '289', '317', '33']
['341', '92', '221', '151', '457', '448', '178', '356', '91', '497']
['34', '283', '183', '431', '76', '352', '57', '396', '69', '491']
['217', '120', '65', '136', '143', '177', '209', '481', '495', '135']
['173', '212', '445', '138', '474', '492', '93', '368', '483', '425']
['424', '203', '86', '354', '475', '42', '117', '385', '224', '8']
['216', '68', '282', '309', '71', '102', '413', '377', '167', '132']
['37', '152', '223', '394', '284', '382', '48', '207', '397', '226']
['486', '274', '296', '489', '100', '353', '388', '295', '12', '461']
['28', '273', '63', '46', '0', '148', '99', '447', '21', '288']
['248', '29', '333', '201', '83', '256', '98', '398', '293', '350']
['182', '403', '412', '101', '155', '80', '130', '45', '330', '311']
['67', '496', '478', '432', '407', '405', '108', '247', '272', '331']
['325', '277', '408', '219', '364', '452', '418', '429', '170', '171']
['499', '454', '348', '245', '378', '119', '335', '250', '415', '410']
['340', '484', '174', '166', '373', '49', '13', '441', '66', '455']
['204', '180', '163', '200', '472', '416', '305', '124', '147', '479']
['232', '175', '133', '196', '312', '228', '306', '375', '115', '319']
['327', '324', '89', '262', '252', '87', '419', '468', '208', '473']
['291', '249', '458', '310', '198', '384', '453', '213', '318', '255']
['189', '18', '75', '111', '187', '433', '253', '11', '463', '357']
['258', '430', '285', '401', '97', '442', '351', '188', '485', '162']
['271', '233', '230', '32', '35', '399', '114', '56', '88', '414']
['36', '81', '16', '464', '294', '227', '365', '1', '220', '422']
['361', '123', '40', '359', '326', '127', '22', '438', '374', '176']
['355', '222', '158', '41', '61', '470', '168', '465', '383', '121']
['237', '494', '24', '263', '96', '303', '379', '79', '498', '229']
['280', '336', '321', '206', '60', '193', '300', '313', '439', '400']
['322', '192', '118', '387', '328', '149', '164', '20', '346', '471']
['159', '185', '7', '334', '437', '287', '106', '157', '205', '462']
['490', '17', '381', '308', '181', '113', '77', '339', '444', '371']
['440', '243', '406', '297', '428', '52', '476', '85', '281', '290']
['235', '345', '53', '141', '386', '38', '435', '268', '78', '107']
['126', '128', '367', '349', '131', '404', '58', '304', '488', '372']
['236', '449', '197', '301', '261', '323', '259', '134', '246', '137']
['27', '411', '239', '251', '254', '43', '5', '73', '320', '376']
['169', '104', '82', '344', '194', '332', '59', '427', '366', '26']
['391', '343', '347', '342', '160', '72', '234', '191', '436', '6']
['51', '214', '260', '95', '257', '370', '469', '44', '298', '215']
['466', '369', '15', '292', '426', '54', '105', '14', '338', '275']
['316', '238', '165', '202', '70', '139', '446', '286', '240', '390']
['150', '363', '493', '480', '402', '450', '90', '337', '195', '62']
['393', '244', '467', '23', '231', '39', '270', '266', '172', '279']
['122', '392', '156', '2', '302', '409', '3', '315', '186', '395']
['267', '241', '31', '456', '179', '423', '451', '487', '276', '459']
['112', '329', '145', '434', '264', '109', '154', '142', '358', '225']
['482', '144', '4', '211', '25', '103', '265', '477', '278', '140']
