['238', '791', '50', '471', '965', '634', '894', '102', '752', '682', '826', '735', '396', '69', '664', '479', '560', '776', '159', '178']
['596', '628', '769', '80', '394', '944', '475', '783', '112', '420', '1', '815', '781', '175', '931', '856', '789', '923', '493', '40']
['816', '635', '265', '325', '310', '873', '620', '520', '19', '819', '161', '740', '237', '129', '584', '330', '317', '70', '361', '857']
['163', '607', '837', '249', '392', '91', '750', '680', '207', '561', '465', '131', '786', '72', '379', '749', '705', '616', '87', '173']
['389', '693', '675', '588', '760', '348', '38', '736', '225', '58', '385', '725', '679', '992', '846', '955', '877', '511', '200', '449']
['754', '168', '890', '447', '59', '563', '445', '550', '827', '42', '352', '278', '650', '259', '209', '6', '918', '678', '362', '274']
['790', '558', '888', '444', '793', '433', '454', '336', '645', '834', '180', '748', '170', '573', '15', '351', '2', '744', '577', '286']
['614', '31', '211', '921', '25', '811', '915', '196', '981', '260', '713', '327', '647', '938', '235', '863', '442', '689', '867', '75']
['643', '46', '315', '893', '987', '402', '118', '359', '929', '363', '766', '958', '935', '308', '896', '456', '432', '941', '651', '227']
['988', '525', '241', '758', '801', '912', '548', '782', '24', '66', '522', '125', '424', '765', '405', '358', '497', '391', '484', '13']
['872', '581', '554', '818', '101', '914', '803', '23', '155', '316', '549', '419', '913', '390', '492', '301', '942', '165', '372', '503']
['169', '466', '648', '490', '625', '688', '43', '21', '367', '644', '297', '600', '314', '191', '187', '476', '785', '659', '355', '843']
['730', '128', '455', '217', '847', '656', '718', '982', '696', '329', '751', '756', '321', '119', '710', '884', '97', '557', '232', '629']
['181', '669', '140', '473', '858', '939', '882', '911', '763', '836', '642', '94', '802', '220', '804', '373', '507', '940', '388', '426']
['745', '989', '849', '306', '580', '714', '661', '295', '778', '956', '943', '980', '830', '233', '820', '597', '780', '901', '61', '712']
['504', '610', '135', '186', '439', '472', '152', '89', '223', '624', '910', '239', '440', '510', '569', '552', '82', '848', '932', '22']
['508', '746', '806', '632', '572', '427', '5', '962', '509', '571', '850', '341', '889', '881', '245', '499', '324', '697', '271', '281']
['824', '582', '822', '407', '124', '694', '461', '799', '715', '320', '855', '294', '90', '529', '319', '275', '547', '961', '167', '210']
['590', '8', '589', '991', '586', '603', '498', '10', '567', '441', '646', '448', '413', '771', '759', '401', '266', '438', '356', '52']
['436', '908', '199', '532', '62', '408', '706', '512', '403', '83', '737', '487', '230', '27', '969', '166', '845', '795', '868', '691']
['243', '770', '823', '722', '720', '615', '622', '916', '726', '851', '117', '741', '761', '360', '446', '39', '738', '513', '250', '451']
['393', '904', '564', '397', '755', '4', '854', '386', '949', '559', '608', '570', '501', '885', '528', '364', '334', '658', '54', '544']
['684', '236', '797', '381', '879', '695', '485', '527', '179', '703', '515', '593', '672', '866', '107', '838', '649', '34', '692', '404']
['73', '917', '77', '977', '727', '162', '477', '290', '138', '891', '972', '579', '349', '258', '429', '963', '340', '418', '312', '156']
['289', '704', '831', '638', '663', '460', '959', '993', '821', '218', '535', '12', '350', '887', '221', '920', '214', '690', '897', '253']
['757', '113', '280', '457', '421', '777', '14', '150', '378', '110', '576', '599', '829', '810', '470', '146', '787', '415', '709', '76']
['482', '368', '284', '948', '960', '474', '860', '805', '859', '864', '852', '111', '145', '768', '555', '808', '202', '545', '670', '335']
['909', '809', '500', '251', '946', '229', '92', '48', '88', '262', '255', '331', '226', '595', '565', '133', '486', '707', '81', '53']
['875', '723', '892', '287', '900', '798', '347', '966', '212', '812', '483', '158', '598', '524', '506', '747', '792', '79', '505', '587']
['626', '395', '734', '947', '343', '47', '205', '64', '775', '108', '480', '203', '702', '303', '213', '813', '655', '495', '104', '123']
['729', '96', '36', '416', '17', '839', '627', '99', '835', '842', '374', '20', '153', '767', '985', '134', '267', '540', '143', '121']
['880', '292', '876', '566', '468', '601', '142', '934', '653', '919', '976', '197', '41', '674', '333', '957', '618', '883', '953', '49']
['307', '611', '261', '975', '338', '11', '417', '924', '345', '412', '711', '840', '463', '530', '927', '305', '219', '870', '192', '264']
['772', '968', '177', '84', '905', '171', '578', '32', '411', '488', '623', '794', '895', '930', '37', '346', '491', '686', '291', '182']
['105', '788', '437', '228', '93', '906', '242', '903', '410', '254', '375', '337', '190', '933', '841', '185', '63', '732', '380', '828']
['98', '120', '807', '51', '514', '974', '323', '67', '115', '371', '617', '215', '279', '983', '954', '481', '964', '541', '784', '640']
['978', '494', '717', '126', '952', '127', '172', '234', '293', '428', '65', '701', '630', '384', '950', '997', '399', '721', '304', '606']
['742', '141', '517', '288', '602', '183', '132', '376', '398', '553', '907', '231', '633', '86', '160', '833', '252', '422', '462', '543']
['57', '662', '568', '268', '95', '414', '9', '825', '369', '871', '683', '925', '665', '0', '698', '898', '865', '922', '283', '206']
['74', '377', '733', '204', '60', '814', '531', '189', '984', '731', '55', '342', '516', '71', '339', '136', '469', '666', '489', '779']
['556', '613', '35', '546', '263', '899', '994', '16', '423', '452', '878', '519', '464', '222', '366', '654', '657', '862', '195', '673']
['326', '928', '832', '298', '538', '668', '193', '971', '575', '400', '430', '660', '116', '817', '478', '353', '277', '216', '536', '676']
['322', '139', '986', '502', '542', '990', '26', '100', '459', '518', '272', '148', '188', '365', '174', '844', '687', '999', '739', '951']
['106', '431', '387', '318', '224', '796', '78', '585', '406', '869', '149', '605', '967', '313', '130', '285', '926', '979', '800', '45']
['996', '973', '151', '270', '728', '328', '157', '114', '526', '247', '109', '700', '370', '443', '537', '194', '7', '122', '354', '671']
['164', '256', '937', '33', '551', '382', '652', '467', '753', '574', '44', '198', '594', '562', '147', '144', '458', '184', '296', '434']
['724', '154', '273', '936', '246', '425', '450', '137', '282', '677', '861', '945', '302', '685', '604', '344', '523', '383', '641', '621']
['409', '708', '853', '774', '201', '699', '3', '681', '244', '764', '276', '636', '453', '18', '592', '762', '539', '85', '902', '970']
['208', '29', '496', '886', '56', '716', '719', '300', '874', '534', '619', '28', '68', '311', '30', '533', '743', '637', '995', '240']
['257', '103', '521', '773', '357', '591', '299', '332', '269', '176', '583', '998', '435', '631', '609', '248', '612', '667', '309', '639']
