['486', '366', '495', '63', '283', '160', '363', '161', '124', '305', '70', '72', '47', '343', '52', '73', '487', '110', '370', '415']
['471', '303', '253', '84', '199', '194', '308', '28', '418', '191', '270', '237', '48', '491', '421', '244', '255', '264', '478', '113']
['442', '361', '146', '337', '282', '44', '488', '450', '86', '329', '193', '292', '277', '163', '262', '158', '346', '469', '417', '278']
['440', '173', '333', '51', '338', '46', '167', '457', '371', '21', '295', '138', '220', '159', '221', '301', '93', '257', '327', '119']
['434', '179', '165', '476', '223', '399', '459', '477', '195', '310', '129', '466', '166', '200', '111', '369', '406', '234', '87', '150']
['419', '331', '144', '460', '268', '245', '139', '496', '132', '285', '177', '213', '306', '189', '299', '239', '143', '175', '90', '330']
['404', '64', '319', '474', '394', '37', '187', '356', '6', '201', '470', '18', '89', '355', '438', '135', '154', '436', '271', '335']
['403', '448', '92', '114', '100', '382', '312', '389', '238', '208', '416', '116', '456', '13', '120', '334', '350', '289', '60', '41']
['397', '42', '136', '10', '45', '443', '252', '58', '430', '95', '75', '232', '342', '340', '464', '171', '105', '365', '424', '180']
['386', '115', '263', '345', '137', '109', '360', '71', '425', '3', '155', '485', '423', '94', '182', '55', '372', '413', '57', '489']
['380', '215', '218', '170', '142', '230', '224', '240', '284', '226', '431', '229', '468', '190', '38', '475', '449', '140', '261', '128']
['378', '33', '2', '243', '206', '324', '482', '247', '80', '274', '233', '426', '385', '130', '246', '62', '145', '266', '396', '381']
['375', '122', '433', '211', '441', '4', '309', '437', '483', '427', '465', '432', '126', '0', '259', '461', '347', '364', '14', '40']
['359', '251', '153', '12', '26', '472', '462', '499', '198', '39', '341', '408', '31', '325', '373', '99', '326', '61', '400', '101']
['358', '387', '118', '379', '411', '217', '445', '236', '176', '269', '192', '91', '314', '304', '207', '353', '447', '162', '336', '256']
['357', '164', '398', '287', '250', '174', '148', '7', '185', '183', '196', '20', '210', '348', '294', '484', '281', '288', '444', '125']
['351', '235', '248', '439', '258', '74', '454', '473', '280', '455', '5', '320', '451', '23', '276', '322', '311', '407', '458', '401']
['332', '88', '497', '184', '362', '374', '302', '388', '463', '54', '181', '453', '422', '188', '205', '169', '410', '77', '107', '147']
['328', '149', '279', '429', '293', '420', '349', '467', '249', '209', '480', '393', '103', '493', '490', '494', '390', '409', '428', '318']
['321', '11', '112', '121', '22', '29', '260', '352', '56', '339', '241', '67', '231', '344', '81', '402', '30', '98', '27', '219']
['300', '227', '156', '479', '265', '286', '414', '228', '204', '452', '242', '435', '15', '376', '17', '83', '186', '313', '368', '315']
['297', '412', '151', '65', '384', '392', '367', '395', '97', '298', '391', '354', '405', '117', '323', '316', '19', '498', '25', '377']
['296', '34', '59', '53', '307', '82', '492', '108', '481', '123', '214', '291', '446', '317', '383', '1', '8', '9', '16', '24']
['290', '32', '35', '36', '43', '49', '50', '66', '68', '69', '76', '78', '79', '85', '96', '102', '104', '106', '127', '131']
['275', '133', '134', '141', '152', '157', '168', '172', '178', '197', '202', '203', '212', '216', '222', '225', '254', '267', '272', '273']
