['466', '95', '178', '231', '34', '414', '58', '212', '337', '491', '279', '263', '367', '307', '154', '155', '481', '413', '15', '244']
['195', '258', '426', '294', '189', '303', '86', '377', '447', '191', '380', '47', '245', '306', '52', '68', '310', '214', '192', '252']
['147', '49', '457', '259', '378', '207', '183', '465', '251', '7', '424', '168', '31', '335', '404', '232', '12', '435', '163', '460']
['487', '472', '25', '201', '187', '250', '39', '266', '65', '405', '239', '29', '139', '477', '409', '100', '406', '27', '488', '233']
['444', '138', '359', '431', '248', '140', '21', '430', '176', '358', '149', '437', '164', '440', '60', '32', '349', '146', '119', '229']
['442', '456', '329', '144', '332', '265', '296', '157', '156', '179', '321', '193', '165', '51', '33', '387', '407', '490', '218', '275']
['322', '186', '311', '408', '216', '10', '340', '112', '353', '79', '87', '352', '26', '211', '115', '131', '246', '497', '234', '450']
['280', '94', '148', '397', '136', '427', '135', '492', '341', '111', '200', '0', '162', '330', '261', '268', '269', '152', '496', '53']
['256', '171', '454', '357', '432', '45', '81', '379', '221', '85', '210', '318', '188', '219', '499', '314', '284', '72', '394', '369']
['222', '3', '174', '345', '451', '190', '132', '255', '312', '91', '347', '223', '137', '97', '107', '235', '317', '272', '328', '43']
['203', '386', '356', '483', '1', '101', '173', '411', '215', '238', '209', '54', '441', '77', '308', '180', '412', '482', '90', '75']
['175', '295', '381', '92', '402', '170', '390', '240', '242', '109', '19', '113', '463', '241', '351', '185', '376', '103', '82', '38']
['125', '267', '199', '80', '288', '141', '400', '205', '299', '375', '46', '4', '208', '396', '446', '333', '14', '202', '458', '24']
['122', '69', '277', '213', '120', '142', '421', '37', '469', '93', '419', '479', '253', '283', '398', '493', '391', '438', '273', '145']
['89', '449', '56', '99', '153', '84', '158', '102', '40', '196', '6', '23', '316', '74', '429', '18', '127', '290', '257', '264']
['73', '445', '467', '217', '230', '110', '452', '331', '276', '480', '2', '160', '315', '118', '204', '301', '489', '344', '336', '128']
['67', '300', '225', '285', '346', '278', '383', '372', '473', '403', '366', '374', '339', '305', '220', '392', '354', '388', '236', '55']
['48', '17', '177', '393', '293', '169', '423', '373', '471', '389', '302', '326', '494', '226', '130', '428', '197', '462', '62', '194']
['16', '22', '123', '417', '327', '181', '270', '41', '298', '247', '362', '124', '198', '459', '342', '486', '324', '364', '361', '282']
['468', '70', '98', '495', '159', '206', '448', '484', '237', '71', '370', '228', '20', '319', '348', '106', '384', '415', '420', '227']
['433', '416', '108', '117', '395', '313', '76', '334', '485', '323', '274', '262', '61', '338', '455', '5', '365', '224', '28', '418']
['422', '434', '425', '59', '13', '96', '291', '498', '116', '184', '325', '129', '453', '470', '78', '464', '44', '57', '88', '134']
['410', '382', '143', '436', '35', '126', '161', '36', '150', '478', '260', '182', '304', '42', '475', '11', '309', '64', '104', '166']
['371', '343', '439', '281', '271', '363', '50', '360', '401', '289', '461', '249', '167', '320', '66', '443', '30', '9', '385', '8']
['368', '83', '399', '476', '292', '286', '133', '474', '355', '243', '287', '172', '350', '63', '114', '121', '297', '105', '254', '151']
