['492', '1', '5', '6']
['491', '13', '4', '15']
['490', '3', '7', '9']
['488', '12', '21', '14']
['484', '8', '11', '23']
['483', '10', '17', '22']
['482', '29', '20', '16']
['480', '31', '19', '18']
['476', '25', '30', '28']
['475', '37', '24', '27']
['474', '39', '26', '33']
['472', '36', '45', '38']
['468', '32', '35', '47']
['467', '34', '41', '46']
['466', '44', '53', '40']
['464', '55', '43', '42']
['460', '49', '54', '52']
['459', '61', '48', '51']
['458', '63', '50', '57']
['456', '60', '62', '69']
['452', '56', '71', '59']
['451', '58', '65', '68']
['450', '70', '77', '64']
['448', '67', '79', '66']
['444', '73', '85', '76']
['443', '78', '72', '87']
['442', '75', '74', '81']
['440', '93', '84', '86']
['436', '80', '95', '83']
['435', '82', '89', '94']
['434', '101', '92', '88']
['432', '91', '103', '90']
['428', '97', '102', '100']
['427', '109', '96', '99']
['426', '111', '98', '105']
['424', '110', '108', '117']
['420', '104', '107', '119']
['419', '106', '113', '125']
['418', '118', '116', '112']
['416', '115', '127', '114']
['412', '121', '133', '126']
['411', '124', '120', '123']
['410', '135', '122', '129']
['408', '141', '134', '132']
['404', '128', '143', '131']
['403', '130', '137', '149']
['402', '140', '142', '136']
['400', '151', '139', '138']
['396', '145', '150', '157']
['395', '148', '144', '147']
['394', '159', '146', '153']
['392', '158', '156', '165']
['388', '152', '167', '155']
['387', '154', '161', '164']
['386', '173', '166', '160']
['384', '163', '175', '162']
['380', '169', '172', '174']
['379', '181', '168', '171']
['378', '183', '170', '177']
['376', '182', '180', '189']
['372', '176', '179', '191']
['371', '178', '185', '190']
['370', '197', '188', '184']
['368', '199', '187', '186']
['364', '193', '196', '205']
['363', '198', '192', '207']
['362', '195', '194', '201']
['360', '204', '206', '213']
['356', '200', '215', '203']
['355', '202', '209', '221']
['354', '212', '214', '208']
['352', '211', '223', '210']
['348', '217', '222', '220']
['347', '229', '216', '231']
['346', '219', '218', '225']
['344', '230', '237', '228']
['340', '224', '227', '239']
['339', '226', '233', '238']
['338', '245', '236', '232']
['336', '247', '235', '234']
['332', '241', '246', '253']
['331', '244', '240', '243']
['330', '242', '335', '334']
['328', '333', '329', '341']
['324', '321', '326', '343']
['323', '337', '342', '349']
['322', '327', '351', '345']
['320', '325', '357', '350']
['316', '313', '318', '359']
['315', '353', '358', '365']
['314', '319', '367', '361']
['312', '317', '373', '366']
['308', '305', '310', '375']
['307', '369', '374', '381']
['306', '311', '383', '377']
['304', '309', '382', '389']
['300', '297', '302', '391']
['299', '385', '390', '397']
['298', '303', '399', '393']
['296', '301', '398', '405']
['292', '289', '294', '407']
['291', '401', '413', '406']
['290', '295', '415', '409']
['288', '293', '421', '414']
['284', '281', '286', '423']
['283', '417', '429', '422']
['282', '287', '431', '425']
['280', '285', '437', '430']
['276', '273', '278', '439']
['275', '433', '438', '445']
['274', '279', '447', '441']
['272', '277', '446', '453']
['268', '265', '270', '455']
['267', '449', '454', '461']
['266', '271', '463', '457']
['264', '269', '462', '469']
['260', '257', '262', '471']
['259', '465', '477', '470']
['258', '263', '479', '473']
['256', '261', '478', '485']
['252', '249', '254', '487']
['251', '481', '486', '493']
['250', '255', '495', '489']
['248', '494', '0', '2']
