['420', '398', '459', '93', '427', '263', '167', '169', '490', '319', '91', '309', '177', '387', '449', '204', '472', '279', '140', '422', '121', '272', '115']
['81', '78', '391', '300', '394', '259', '432', '393', '437', '439', '28', '154', '138', '407', '294', '236', '303', '245', '254', '82', '141', '438', '16']
['485', '410', '158', '184', '479', '175', '271', '382', '498', '219', '151', '369', '157', '125', '98', '74', '264', '234', '310', '111', '405', '233', '60']
['71', '248', '496', '145', '363', '242', '444', '299', '117', '103', '247', '14', '430', '57', '304', '364', '100', '209', '333', '51', '324', '200', '86']
['31', '22', '384', '276', '116', '260', '52', '483', '346', '415', '163', '312', '178', '330', '197', '429', '4', '41', '205', '412', '301', '353', '206']
['269', '196', '436', '109', '130', '277', '476', '143', '409', '295', '89', '445', '362', '32', '55', '147', '149', '284', '456', '185', '159', '470', '220']
['37', '357', '20', '480', '195', '332', '475', '112', '419', '160', '3', '224', '226', '440', '5', '424', '211', '142', '59', '252', '39', '108', '251']
['198', '203', '194', '395', '66', '489', '210', '298', '88', '495', '401', '239', '217', '128', '374', '339', '281', '229', '287', '381', '328', '474', '182']
['173', '47', '306', '213', '23', '36', '302', '215', '49', '326', '90', '325', '50', '119', '367', '99', '69', '403', '344', '428', '48', '101', '207']
['237', '461', '73', '70', '131', '352', '190', '425', '414', '418', '17', '212', '292', '349', '13', '282', '334', '340', '274', '172', '166', '193', '144']
['494', '267', '396', '191', '102', '481', '315', '253', '375', '290', '244', '153', '7', '258', '26', '450', '446', '68', '499', '72', '345', '335', '370']
['188', '316', '139', '331', '492', '0', '25', '378', '388', '311', '426', '18', '176', '291', '30', '270', '453', '321', '318', '338', '168', '56', '487']
['79', '10', '471', '150', '402', '296', '285', '171', '392', '232', '127', '347', '451', '183', '434', '257', '400', '148', '43', '423', '1', '35', '359']
['42', '380', '221', '457', '486', '265', '307', '214', '76', '15', '77', '452', '231', '27', '464', '413', '288', '9', '174', '408', '44', '40', '467']
['58', '180', '389', '482', '406', '468', '266', '261', '85', '342', '308', '2', '61', '240', '132', '377', '97', '186', '228', '192', '448', '466', '368']
['45', '222', '473', '435', '75', '484', '317', '329', '110', '478', '170', '106', '289', '442', '463', '94', '67', '65', '458', '46', '297', '293', '107']
['488', '218', '447', '399', '348', '416', '118', '62', '84', '460', '241', '122', '397', '477', '250', '129', '12', '249', '327', '227', '341', '443', '246']
['365', '383', '454', '120', '491', '465', '273', '280', '123', '199', '371', '201', '114', '373', '283', '124', '323', '87', '262', '417', '202', '162', '361']
['33', '187', '431', '336', '135', '286', '216', '225', '126', '146', '355', '469', '53', '80', '360', '8', '268', '34', '235', '155', '164', '179', '385']
['6', '337', '96', '376', '19', '411', '11', '134', '497', '379', '165', '358', '356', '455', '54', '136', '243', '189', '133', '83', '343', '156', '386']
['462', '354', '320', '322', '238', '433', '255', '105', '350', '161', '278', '137', '24', '152', '38', '92', '366', '113', '29', '181', '230', '314', '351']
['421', '64', '313', '390', '441', '256', '21', '404', '305', '372', '95', '493', '275', '208', '223', '63', '104']
