['398', '91', '90', '25', '46', '205', '34', '38', '36', '151', '32', '37', '23', '209', '210', '251', '56', '101', '201', '130']
['396', '20', '328', '28', '70', '33', '134', '397', '250', '225', '24', '223', '100', '326', '261', '386', '360', '30', '389', '395']
['387', '222', '366', '361', '207', '315', '310', '297', '301', '285', '304', '113', '169', '309', '247', '308', '362', '240', '311', '125']
['384', '226', '372', '21', '119', '145', '140', '153', '231', '4', '154', '155', '156', '150', '104', '351', '144', '149', '283', '296']
['399', '128', '171', '379', '99', '83', '200', '162', '219', '141', '159', '295', '279', '263', '167', '192', '96', '97', '175', '320']
['392', '68', '259', '274', '65', '69', '267', '62', '73', '61', '158', '254', '72', '336', '63', '112', '71', '79', '78', '66']
['385', '390', '213', '218', '216', '202', '204', '52', '214', '203', '211', '215', '206', '306', '314', '212', '217', '19', '230', '106']
['186', '147', '142', '185', '193', '108', '197', '105', '189', '59', '312', '317', '305', '318', '303', '86', '302', '300', '313', '143']
['393', '157', '152', '76', '77', '60', '139', '253', '3', '248', '2', '0', '26', '12', '7', '17', '15', '8', '27', '64']
['382', '394', '131', '168', '265', '260', '121', '6', '138', '164', '174', '126', '75', '67', '370', '172', '122', '127', '299', '256']
['391', '120', '124', '123', '132', '137', '136', '160', '133', '330', '10', '13', '196', '331', '115', '135', '80', '42', '236', '129']
['383', '329', '92', '95', '322', '9', '82', '18', '1', '116', '148', '109', '85', '81', '378', '11', '107', '55', '183', '54']
['388', '178', '22', '198', '191', '343', '188', '346', '232', '349', '344', '353', '182', '357', '170', '358', '298', '291', '5', '365']
['381', '347', '102', '235', '373', '354', '237', '341', '118', '93', '166', '268', '110', '325', '270', '252', '117', '289', '316', '287']
['380', '190', '208', '269', '16', '286', '374', '58', '40', '41', '48', '53', '43', '45', '50', '49', '51', '57', '339', '114']
['352', '342', '340', '359', '356', '348', '350', '282', '307', '255', '165', '238', '363', '368', '364', '249', '371', '243', '345', '195']
['333', '39', '199', '288', '292', '179', '290', '47', '355', '163', '227', '377', '229', '74', '367', '224', '161', '103', '239', '369']
['294', '98', '87', '94', '88', '89', '84', '187', '376', '44', '276', '194', '146', '176', '173', '181', '233', '278', '273', '327']
['281', '334', '262', '266', '242', '277', '264', '338', '275', '244', '177', '280', '337', '272', '258', '245', '335', '241', '246', '257']
['228', '319', '111', '29', '271', '293', '14', '323', '321', '324', '332', '184', '284', '234', '220', '221', '375', '35', '180', '31']
