['183', '39', '329', '449', '241']
['437', '393', '396', '282', '124']
['434', '51', '66', '166', '263']
['403', '363', '116', '127', '144']
['365', '141', '426', '420', '140']
['259', '445', '469', '246', '179']
['208', '19', '252', '361', '298']
['200', '160', '281', '92', '173']
['196', '301', '249', '146', '218']
['171', '405', '414', '324', '351']
['161', '30', '364', '431', '53']
['105', '457', '216', '38', '44']
['74', '472', '219', '181', '232']
['52', '81', '89', '63', '75']
['48', '453', '224', '493', '150']
['462', '312', '452', '82', '413']
['446', '26', '389', '279', '448']
['444', '486', '155', '227', '280']
['439', '274', '456', '102', '260']
['433', '40', '133', '357', '407']
['419', '54', '214', '491', '489']
['378', '163', '427', '287', '117']
['346', '295', '375', '397', '31']
['345', '191', '113', '447', '395']
['333', '118', '377', '136', '443']
['331', '90', '485', '28', '203']
['320', '236', '332', '58', '290']
['311', '153', '3', '17', '43']
['262', '186', '110', '126', '65']
['258', '195', '440', '240', '356']
['247', '15', '4', '100', '251']
['233', '242', '432', '204', '272']
['222', '400', '192', '354', '343']
['199', '24', '237', '187', '147']
['156', '64', '239', '122', '109']
['123', '55', '142', '291', '335']
['120', '32', '154', '402', '410']
['111', '268', '442', '94', '149']
['108', '67', '372', '368', '488']
['106', '230', '16', '221', '451']
['76', '293', '169', '409', '344']
['70', '390', '114', '86', '188']
['62', '158', '159', '401', '392']
['49', '134', '207', '80', '157']
['35', '278', '398', '474', '379']
['29', '269', '348', '460', '104']
['7', '288', '337', '20', '93']
['479', '342', '95', '253', '175']
['466', '217', '10', '220', '99']
['463', '235', '304', '121', '406']
['428', '465', '206', '436', '415']
['417', '303', '248', '355', '299']
['385', '210', '399', '391', '302']
['380', '388', '170', '202', '177']
['374', '487', '277', '455', '125']
['353', '286', '37', '164', '418']
['352', '371', '265', '101', '429']
['336', '50', '289', '314', '59']
['334', '411', '326', '103', '438']
['328', '257', '458', '88', '85']
['319', '350', '470', '321', '386']
['318', '412', '193', '267', '143']
['310', '96', '14', '42', '387']
['309', '223', '148', '404', '464']
['307', '340', '79', '41', '72']
['300', '130', '98', '499', '13']
['296', '244', '276', '254', '190']
['275', '2', '330', '473', '174']
['271', '323', '383', '83', '165']
['264', '184', '370', '341', '284']
['256', '73', '381', '424', '1']
['234', '362', '172', '189', '360']
['231', '71', '0', '495', '492']
['228', '327', '477', '273', '185']
['212', '138', '22', '482', '132']
['197', '225', '373', '201', '408']
['182', '255', '261', '461', '366']
['152', '238', '209', '315', '27']
['145', '266', '36', '194', '250']
['137', '211', '468', '77', '178']
['135', '180', '305', '313', '205']
['129', '496', '430', '57', '245']
['119', '292', '338', '215', '226']
['115', '382', '167', '441', '176']
['84', '11', '60', '21', '112']
['78', '47', '376', '339', '425']
['56', '151', '349', '416', '294']
['34', '394', '23', '229', '422']
['18', '68', '87', '316', '91']
['9', '367', '97', '107', '243']
['6', '297', '369', '25', '435']
['498', '46', '139', '5', '358']
['497', '317', '322', '61', '213']
['490', '45', '12', '131', '484']
['480', '270', '128', '8', '325']
['478', '384', '454', '33', '481']
['476', '471', '347', '359', '421']
['475', '283', '308', '168', '450']
['467', '483', '162', '494', '423']
['459', '285', '198', '69', '306']
