['232', '469', '440', '470', '255']
['481', '46', '27', '496', '236']
['208', '114', '74', '290', '6']
['139', '269', '455', '340', '278']
['241', '226', '153', '172', '253']
['239', '398', '13', '393', '406']
['98', '328', '54', '424', '219']
['41', '343', '52', '414', '197']
['200', '454', '330', '199', '277']
['365', '427', '448', '336', '2']
['173', '234', '84', '436', '257']
['59', '212', '477', '442', '381']
['334', '203', '429', '279', '384']
['459', '327', '77', '4', '450']
['345', '21', '395', '313', '337']
['288', '51', '293', '88', '258']
['82', '335', '256', '223', '260']
['38', '484', '407', '62', '261']
['31', '445', '425', '428', '189']
['364', '339', '430', '356', '193']
['251', '434', '447', '344', '194']
['50', '451', '9', '318', '389']
['48', '10', '64', '227', '33']
['396', '156', '174', '410', '204']
['385', '245', '185', '285', '422']
['372', '1', '5', '71', '25']
['355', '168', '19', '326', '490']
['352', '244', '233', '485', '36']
['196', '338', '466', '76', '94']
['133', '397', '231', '228', '476']
['49', '184', '58', '108', '85']
['16', '75', '304', '382', '465']
['413', '347', '240', '317', '120']
['411', '363', '471', '117', '111']
['362', '96', '378', '480', '302']
['358', '83', '53', '181', '254']
['354', '361', '291', '213', '380']
['321', '221', '408', '138', '320']
['286', '383', '90', '306', '110']
['283', '249', '402', '45', '140']
['217', '495', '68', '423', '262']
['478', '289', '92', '195', '399']
['463', '310', '178', '300', '136']
['441', '331', '104', '494', '106']
['305', '373', '135', '12', '301']
['248', '169', '366', '119', '209']
['118', '412', '30', '453', '202']
['115', '308', '332', '498', '167']
['105', '37', '242', '69', '483']
['99', '296', '47', '67', '192']
['93', '70', '418', '190', '97']
['357', '452', '426', '154', '259']
['247', '401', '186', '387', '235']
['238', '443', '482', '116', '15']
['215', '325', '474', '394', '152']
['180', '22', '486', '342', '492']
['166', '457', '264', '230', '39']
['160', '158', '292', '130', '171']
['491', '0', '124', '95', '162']
['489', '370', '299', '391', '460']
['472', '35', '40', '188', '341']
['444', '433', '377', '333', '284']
['359', '32', '220', '295', '419']
['349', '276', '149', '403', '34']
['294', '229', '351', '273', '375']
['266', '86', '371', '29', '125']
['159', '237', '17', '267', '191']
['150', '303', '207', '271', '431']
['146', '417', '218', '322', '14']
['131', '274', '170', '210', '350']
['121', '225', '161', '7', '18']
['72', '280', '348', '252', '404']
['26', '390', '316', '367', '89']
['20', '112', '187', '143', '134']
['3', '141', '176', '107', '446']
['487', '346', '179', '28', '129']
['456', '314', '198', '11', '66']
['421', '113', '42', '60', '87']
['369', '432', '353', '449', '55']
['319', '379', '281', '157', '282']
['315', '392', '360', '400', '268']
['312', '80', '493', '183', '127']
['272', '275', '123', '102', '307']
['214', '224', '420', '287', '324']
['205', '405', '109', '65', '415']
['201', '137', '243', '57', '270']
['148', '147', '216', '265', '386']
['144', '323', '298', '462', '78']
['132', '126', '24', '368', '263']
['122', '458', '222', '44', '464']
['103', '297', '175', '467', '499']
['81', '128', '101', '61', '468']
['79', '142', '311', '182', '374']
['73', '329', '206', '497', '8']
['63', '376', '439', '435', '151']
['56', '246', '91', '177', '100']
['23', '165', '164', '211', '145']
['488', '461', '155', '409', '475']
['473', '309', '388', '438']
['437']
['416', '250', '43', '163', '479']
