['39', '103', '140', '14', '185', '3', '465', '448', '374', '207', '471', '367', '44', '157', '162', '426', '173', '116', '346', '477', '42', '398']
['112', '171', '131', '417', '334', '21', '102', '444', '89', '339', '332', '183', '105', '167', '296', '134', '264', '231', '234', '51', '175', '52']
['142', '126', '428', '152', '393', '111', '101', '194', '245', '353', '441', '227', '356', '73', '84', '118', '60', '282', '63', '397', '293', '400']
['186', '71', '463', '413', '56', '141', '242', '307', '473', '22', '160', '450', '6', '434', '50', '430', '420', '72', '237', '369', '54', '76']
['330', '446', '225', '288', '396', '24', '404', '139', '149', '198', '243', '38', '143', '26', '459', '94', '2', '409', '476', '201', '286', '438']
['31', '295', '331', '418', '25', '370', '425', '371', '300', '344', '235', '265', '216', '305', '338', '206', '322', '4', '381', '147', '347', '474']
['104', '130', '383', '291', '385', '412', '456', '306', '223', '466', '386', '145', '133', '159', '196', '13', '184', '443', '310', '247', '75', '275']
['27', '150', '36', '193', '123', '253', '129', '108', '37', '19', '222', '259', '437', '308', '136', '239', '335', '249', '1', '254', '380', '268']
['435', '46', '176', '252', '117', '358', '164', '17', '124', '453', '78', '187', '324', '270', '220', '429', '20', '267', '352', '376', '312', '302']
['284', '238', '195', '23', '472', '262', '148', '168', '251', '45', '81', '158', '478', '92', '278', '345', '0', '226', '272', '65', '394', '250']
['58', '233', '479', '424', '174', '128', '12', '354', '361', '146', '368', '355', '151', '66', '483', '144', '375', '161', '373', '121', '209', '172']
['113', '246', '392', '83', '29', '451', '33', '389', '228', '77', '10', '407', '455', '188', '166', '107', '342', '379', '70', '333', '423', '415']
['47', '7', '416', '326', '366', '91', '127', '95', '461', '156', '303', '97', '411', '329', '181', '170', '85', '317', '255', '93', '40', '154']
['215', '132', '427', '236', '240', '382', '53', '155', '337', '86', '480', '9', '100', '217', '48', '30', '200', '180', '283', '190', '422', '213']
['67', '341', '214', '99', '110', '232', '269', '202', '55', '69', '318', '266', '135', '5', '90', '467', '311', '211', '360', '388', '359', '325']
['15', '120', '248', '277', '122', '119', '401', '125', '279', '34', '80', '261', '297', '294', '323', '391', '59', '153', '419', '482', '137', '138']
['290', '68', '79', '244', '387', '191', '257', '314', '96', '230', '384', '464', '454', '221', '432', '64', '445', '208', '313', '402', '298', '276']
['271', '273', '163', '192', '357', '197', '274', '399', '199', '28', '177', '470', '106', '469', '449', '189', '363', '212', '241', '179', '348', '289']
['321', '364', '447', '205', '395', '336', '468', '403', '378', '18', '299', '316', '304', '405', '340', '263', '457', '8', '114', '11', '439', '292']
['421', '219', '165', '115', '481', '351', '224', '315', '350', '458', '41', '408', '82', '35', '377', '365', '287', '32', '62', '49', '414', '74']
['285', '431', '309', '349', '406', '16', '281', '372', '260', '43', '229', '256', '169', '218', '319', '320', '87', '258', '109', '328', '390', '57']
['362', '203', '410', '475', '210', '436', '460', '440', '88', '98', '327', '182', '433', '452', '442', '178', '61', '462', '280', '343', '204', '301']
