['378', '463', '62', '161', '29', '197', '252', '467', '98', '87', '460']
['84', '302', '214', '6', '235', '202', '274', '398', '495', '244', '371']
['480', '318', '119', '293', '42', '25', '110', '48', '111', '433', '72']
['361', '325', '152', '450', '397', '219', '441', '1', '442', '262', '444']
['395', '456', '299', '369', '140', '47', '169', '277', '190', '349', '54']
['5', '464', '0', '55', '150', '228', '135', '181', '426', '367', '4']
['423', '411', '164', '324', '205', '13', '384', '483', '415', '50', '127']
['422', '382', '407', '471', '418', '253', '132', '155', '383', '428', '320']
['298', '183', '348', '220', '203', '2', '339', '448', '276', '264', '332']
['374', '292', '41', '445', '221', '109', '138', '300', '120', '360', '437']
['301', '210', '26', '223', '475', '468', '490', '284', '239', '315', '175']
['352', '22', '17', '296', '66', '462', '212', '173', '427', '457', '350']
['319', '167', '58', '141', '226', '459', '261', '375', '67', '243', '345']
['186', '56', '454', '330', '3', '336', '439', '416', '363', '199', '275']
['176', '49', '158', '187', '297', '404', '291', '390', '184', '406', '421']
['46', '216', '487', '254', '191', '306', '92', '283', '270', '313', '493']
['380', '282', '74', '198', '440', '44', '14', '207', '196', '333', '57']
['290', '79', '280', '376', '491', '242', '147', '365', '498', '76', '94']
['466', '172', '34', '118', '431', '23', '114', '185', '104', '69', '476']
['343', '310', '396', '295', '492', '179', '473', '304', '159', '178', '446']
['258', '321', '329', '153', '424', '27', '419', '182', '311', '429', '166']
['71', '129', '267', '344', '245', '420', '101', '481', '123', '268', '281']
['434', '255', '364', '357', '353', '157', '370', '122', '393', '213', '170']
['334', '31', '229', '317', '443', '174', '39', '250', '470', '263', '392']
['82', '478', '61', '88', '134', '294', '233', '312', '146', '130', '77']
['21', '246', '177', '81', '162', '28', '121', '8', '340', '401', '156']
['362', '9', '63', '489', '323', '335', '33', '331', '278', '484', '7']
['248', '35', '234', '472', '38', '355', '314', '414', '189', '208', '145']
['222', '400', '227', '455', '96', '256', '286', '238', '373', '347', '409']
['180', '126', '137', '358', '366', '486', '257', '168', '485', '32', '97']
['125', '356', '20', '103', '354', '341', '346', '436', '148', '458', '68']
['106', '107', '70', '194', '322', '89', '285', '136', '116', '30', '338']
['73', '372', '200', '326', '192', '149', '410', '388', '43', '206', '95']
['482', '163', '11', '236', '328', '394', '144', '36', '102', '215', '195']
['417', '288', '259', '75', '337', '16', '413', '143', '303', '403', '469']
['399', '488', '447', '78', '307', '124', '24', '408', '90', '496', '204']
['391', '193', '452', '108', '40', '273', '379', '241', '86', '85', '225']
['389', '402', '497', '93', '435', '128', '425', '499', '224', '171', '211']
['381', '18', '247', '279', '115', '83', '60', '237', '359', '65', '412']
['231', '305', '15', '59', '309', '230', '100', '432', '52', '142', '99']
['218', '377', '438', '265', '289', '37', '165', '449', '251', '91', '53']
['139', '385', '10', '113', '240', '327', '232', '451', '105', '151', '269']
['112', '260', '154', '188', '387', '131', '287', '201', '249', '80', '453']
['51', '272', '405', '342', '308', '271', '316', '217', '117', '461', '64']
['45', '368', '351', '474', '133', '209', '266', '160', '386', '479', '12']
['19']
['494']
['477']
['465']
['430']
