['325', '50', '56', '55', '53', '51', '48']
['322', '52', '45', '54', '57', '58', '120']
['321', '124', '122', '123', '126', '125', '115']
['320', '121', '132', '129', '116', '15', '25']
['319', '11', '18', '20', '9', '17', '16']
['318', '19', '21', '155', '161', '151', '154']
['317', '157', '158', '156', '159', '160', '168']
['316', '169', '164', '173', '295', '296', '314']
['287', '297', '299', '300', '294', '298', '301']
['286', '291', '330', '333', '332', '335', '328']
['285', '345', '334', '326', '336', '331', '70']
['284', '64', '68', '67', '65', '66', '61']
['283', '69', '62', '85', '89', '91', '87']
['282', '88', '96', '90', '86', '82', '92']
['281', '93', '94', '104', '119', '130', '225']
['259', '228', '221', '229', '231', '223', '226']
['252', '230', '227', '235', '244', '309', '303']
['251', '343', '340', '22', '31', '13', '24']
['250', '26', '60', '59', '118', '128', '166']
['249', '190', '194', '196', '192', '187', '191']
['248', '195', '193', '205', '201', '199', '204']
['247', '208', '210', '206', '189', '207', '209']
['246', '237', '240', '260', '263', '265', '266']
['218', '254', '261', '264', '262', '269', '279']
['217', '274', '278', '280', '268', '276', '275']
['216', '277', '308', '292', '302', '313', '311']
['215', '310', '312', '315', '341', '29', '23']
['214', '28', '33', '32', '35', '34', '30']
['213', '99', '102', '100', '105', '101', '103']
['212', '174', '172', '171', '170', '175', '167']
['183', '239', '243', '242', '245', '241', '344']
['182', '337', '347', '350', '348', '349', '346']
['181', '134', '136', '139', '138', '140', '137']
['180', '135', '272', '257', '255', '267', '271']
['179', '327', '324', '329', '80', '81', '83']
['178', '163', '152', '149', '258', '273', '256']
['177', '339', '14', '12', '127', '131', '133']
['176', '117', '162', '200', '197', '253', '270']
['165', '305', '306', '290', '10', '46', '63']
['148', '79', '98', '106', '95', '203', '185']
['147', '198', '219', '220', '238', '236', '234']
['146', '288', '338', '27', '49', '44', '84']
['145', '97', '114', '150', '184', '188', '186']
['144', '224', '222', '233', '232', '289', '304']
['143', '342', '323', '47', '153', '211', '202']
['142', '293', '307', '1', '2', '3', '4']
['141', '5', '6', '7', '8', '36', '37']
['113', '38', '39', '40', '41', '42', '43']
['112', '71', '72', '73', '74', '75', '76']
['111', '77', '78', '107', '108', '109', '110']
