['278', '102', '329', '39', '383', '143', '231', '392', '260', '3', '272', '385', '297', '229', '104', '270', '327', '22', '105', '222']
['58', '476', '47', '141', '188', '15', '77', '115', '380', '157', '350', '30', '101', '32', '236', '237', '220', '116', '396', '333']
['459', '268', '230', '221', '482', '181', '271', '197', '2', '44', '113', '153', '17', '469', '273', '276', '475', '224', '292', '238']
['419', '228', '387', '226', '390', '191', '381', '395', '289', '281', '51', '59', '110', '483', '109', '27', '461', '151', '341', '325']
['418', '144', '154', '183', '332', '279', '358', '73', '386', '227', '167', '162', '196', '343', '190', '344', '168', '119', '123', '25']
['338', '1', '14', '5', '355', '7', '9', '11', '12', '331', '294', '340', '42', '50', '336', '330', '285', '82', '353', '84']
['79', '235', '62', '171', '86', '347', '161', '10', '89', '361', '55', '187', '479', '499', '466', '463', '354', '65', '477', '131']
['410', '149', '223', '92', '326', '321', '324', '177', '334', '38', '442', '474', '61', '345', '6', '54', '405', '52', '401', '413']
['398', '430', '88', '208', '403', '301', '434', '43', '205', '194', '397', '433', '219', '184', '298', '399', '394', '98', '8', '439']
['328', '382', '389', '232', '393', '414', '465', '207', '97', '204', '46', '53', '165', '213', '49', '48', '426', '296', '420', '139']
['299', '132', '60', '214', '425', '57', '126', '371', '306', '462', '135', '402', '309', '364', '290', '411', '467', '137', '142', '293']
['286', '282', '291', '288', '287', '41', '363', '415', '456', '428', '440', '372', '314', '349', '305', '91', '362', '56', '45', '444']
['265', '261', '225', '263', '173', '448', '457', '275', '163', '164', '277', '388', '374', '376', '262', '375', '368', '233', '303', '310']
['259', '267', '373', '370', '339', '391', '427', '369', '377', '421', '366', '182', '367', '264', '365', '274', '31', '249', '248', '280']
['199', '254', '136', '138', '300', '284', '134', '318', '406', '246', '242', '407', '312', '256', '311', '258', '255', '166', '240', '319']
['198', '257', '251', '133', '307', '438', '18', '315', '424', '140', '156', '304', '472', '470', '155', '159', '313', '316', '152', '150']
['179', '180', '172', '174', '176', '175', '169', '170', '148', '308', '404', '83', '243', '85', '253', '127', '417', '87', '317', '93']
['118', '120', '111', '103', '107', '112', '117', '106', '114', '108', '322', '494', '96', '337', '323', '335', '346', '81', '189', '121']
['78', '80', '70', '74', '66', '68', '72', '69', '76', '201', '203', '449', '216', '206', '20', '498', '211', '146', '64', '67']
['26', '21', '158', '33', '24', '34', '36', '37', '28', '147', '422', '29', '202', '35', '471', '125', '473', '480', '464', '200']
['490', '0', '485', '493', '481', '488', '492', '491', '495', '75', '94', '302', '348', '71', '90', '95', '209', '359', '244', '63']
['486', '160', '19', '269', '178', '124', '266', '16', '130', '357', '212', '435', '218', '295', '423', '193', '40', '192', '436', '99']
['478', '283', '239', '351', '4', '13', '432', '489', '352', '356', '484', '378', '215', '247', '241', '384', '412', '186', '487', '185']
['468', '195', '379', '234', '496', '437', '145', '217', '250', '210', '416', '429', '400', '431', '252', '245', '409', '23', '408', '320']
['458', '460', '455', '453', '452', '446', '443', '450', '447', '454', '445', '122', '451', '441', '100', '342', '360', '129', '128', '497']
