['297', '245', '68', '105', '9', '359', '136', '70', '120', '373', '143', '148', '276', '84', '301', '324', '63', '313', '89', '116']
['354', '195', '167', '170', '19', '217', '117', '138', '241', '6', '160', '147', '108', '12', '176', '204', '299', '199', '360', '196']
['361', '187', '182', '338', '154', '100', '358', '101', '88', '288', '352', '205', '13', '30', '304', '197', '20', '80', '51', '165']
['86', '76', '370', '65', '133', '264', '190', '326', '375', '28', '168', '368', '45', '256', '224', '81', '345', '175', '66', '178']
['296', '388', '8', '226', '281', '319', '234', '253', '112', '231', '357', '270', '125', '62', '347', '127', '333', '396', '122', '103']
['274', '266', '327', '282', '78', '132', '267', '259', '362', '25', '391', '215', '158', '305', '250', '279', '22', '151', '96', '341']
['376', '69', '306', '157', '159', '344', '163', '380', '303', '74', '355', '124', '323', '329', '390', '248', '192', '211', '363', '261']
['34', '186', '271', '59', '348', '298', '83', '24', '37', '382', '310', '75', '90', '54', '243', '134', '113', '85', '293', '139']
['289', '49', '351', '131', '198', '174', '232', '364', '166', '94', '79', '31', '372', '42', '260', '21', '153', '4', '140', '144']
['149', '332', '337', '169', '236', '26', '135', '269', '161', '47', '277', '291', '272', '7', '38', '342', '307', '111', '302', '194']
['290', '350', '123', '218', '257', '23', '318', '321', '385', '98', '367', '384', '394', '309', '18', '110', '228', '191', '238', '128']
['36', '328', '141', '275', '87', '93', '209', '130', '283', '377', '331', '17', '188', '184', '263', '53', '61', '210', '322', '43']
['356', '95', '55', '346', '156', '72', '0', '177', '255', '52', '235', '286', '129', '202', '185', '222', '386', '10', '207', '193']
['115', '340', '316', '48', '119', '206', '317', '398', '349', '64', '246', '343', '295', '378', '3', '239', '334', '273', '46', '155']
['311', '221', '15', '118', '73', '137', '180', '172', '33', '104', '39', '99', '114', '227', '262', '314', '366', '393', '233', '225']
['280', '97', '171', '379', '220', '27', '265', '219', '365', '77', '203', '200', '152', '208', '71', '252', '247', '251', '389', '369']
['387', '92', '330', '121', '258', '214', '32', '50', '56', '57', '14', '213', '392', '244', '216', '107', '142', '40', '278', '242']
['230', '287', '249', '374', '179', '82', '41', '146', '183', '5', '395', '300', '145', '336', '2', '109', '399', '371', '315', '91']
['254', '240', '44', '126', '173', '381', '320', '29', '312', '201', '292', '229', '181', '284', '212', '58', '268', '164', '106', '237']
['150', '294', '339', '397', '162', '223', '325', '35', '353', '67', '16', '308', '11', '189', '285', '60', '102', '1', '383', '335']
