['479', '71', '273', '148', '274', '27', '25', '184', '51', '169', '286', '173', '120', '123', '302', '237', '352', '344', '420', '213', '418', '380', '84']
['478', '492', '279', '163', '13', '164', '201', '310', '319', '244', '196', '276', '186', '407', '208', '16', '75', '433', '235', '55', '243', '439', '242']
['475', '316', '261', '159', '497', '172', '113', '394', '204', '149', '249', '383', '334', '397', '219', '369', '203', '160', '463', '359', '162', '156', '393']
['474', '33', '437', '432', '77', '427', '72', '448', '138', '112', '450', '197', '360', '277', '324', '251', '469', '370', '116', '367', '339', '137', '385']
['477', '349', '435', '69', '110', '398', '181', '466', '312', '34', '496', '145', '35', '288', '212', '152', '327', '218', '399', '416', '106', '124', '391']
['476', '98', '209', '239', '379', '271', '350', '498', '331', '282', '341', '28', '376', '191', '292', '306', '161', '406', '374', '329', '176', '183', '457']
['471', '216', '429', '199', '133', '405', '42', '81', '264', '296', '31', '190', '230', '266', '206', '95', '453', '4', '94', '272', '323', '3', '9']
['473', '252', '207', '12', '428', '365', '307', '468', '318', '26', '96', '295', '97', '224', '257', '88', '419', '267', '256', '231', '375', '128', '430']
['472', '326', '167', '195', '309', '442', '78', '178', '192', '82', '347', '293', '187', '269', '283', '57', '259', '86', '240', '411', '287', '150', '332']
['480', '93', '85', '328', '417', '232', '107', '317', '445', '298', '413', '80', '23', '114', '415', '314', '19', '337', '24', '275', '226', '151', '217']
['481', '59', '54', '270', '459', '396', '400', '461', '300', '412', '336', '153', '83', '467', '238', '109', '247', '426', '125', '68', '214', '245', '403']
['482', '211', '465', '401', '8', '105', '362', '464', '11', '301', '170', '278', '92', '198', '174', '65', '166', '73', '87', '70', '165', '236', '62']
['483', '410', '52', '351', '227', '202', '115', '89', '368', '233', '168', '458', '441', '389', '291', '303', '395', '255', '210', '346', '268', '377', '66']
['484', '438', '421', '117', '101', '0', '253', '228', '290', '260', '7', '29', '1', '53', '48', '139', '126', '43', '64', '254', '381', '22', '297']
['485', '130', '493', '47', '322', '185', '315', '308', '390', '127', '363', '340', '39', '118', '408', '6', '280', '333', '455', '129', '444', '371', '79']
['486', '284', '248', '356', '384', '436', '299', '144', '289', '200', '194', '14', '61', '263', '494', '499', '460', '46', '21', '155', '250', '131', '373']
['487', '470', '281', '404', '449', '348', '372', '262', '378', '342', '74', '158', '99', '141', '246', '32', '17', '2', '241', '422', '447', '223', '157']
['488', '305', '180', '37', '58', '338', '171', '147', '330', '386', '143', '182', '119', '325', '179', '38', '45', '20', '67', '122', '345', '335', '111']
['489', '343', '102', '313', '265', '451', '495', '60', '357', '10', '136', '258', '382', '221', '140', '431', '361', '490', '456', '132', '142', '285', '56']
['5', '205', '15', '193', '188', '108', '311', '443', '294', '454', '358', '366', '220', '18', '50', '388', '446', '414', '215', '44', '189', '63', '353']
['41', '76', '49', '121', '175', '36', '425', '177', '364', '234', '320', '154', '402', '91', '100', '354', '103']
['40', '229', '440', '134', '387', '423', '222', '491', '225', '104', '434', '409', '135', '424', '30', '321', '304', '392', '452', '462', '90', '355', '146']
