['215', '176', '1', '249', '323', '42', '170', '164', '257', '392', '332', '345', '136', '24', '114', '41', '49', '173', '216', '32']
['88', '313', '274', '318', '89', '109', '360', '212', '12', '121', '266', '329', '145', '297', '140', '161', '48', '123', '55', '234']
['305', '399', '11', '295', '358', '75', '171', '374', '383', '253', '262', '122', '288', '25', '311', '245', '147', '267', '179', '276']
['247', '254', '82', '357', '144', '394', '280', '90', '23', '387', '316', '308', '347', '113', '129', '219', '151', '192', '127', '327']
['118', '186', '35', '385', '194', '264', '227', '224', '291', '340', '315', '244', '96', '361', '230', '200', '281', '43', '235', '256']
['31', '205', '193', '371', '85', '130', '324', '293', '0', '51', '166', '91', '159', '95', '3', '240', '377', '152', '330', '294']
['303', '220', '125', '174', '349', '137', '328', '306', '65', '131', '228', '138', '246', '158', '112', '359', '172', '241', '36', '379']
['271', '67', '58', '218', '141', '74', '270', '93', '61', '69', '198', '78', '177', '63', '108', '233', '162', '251', '97', '5']
['243', '250', '196', '325', '232', '76', '146', '352', '10', '111', '184', '117', '201', '64', '119', '40', '350', '210', '365', '169']
['367', '29', '336', '381', '221', '282', '19', '8', '304', '378', '128', '207', '165', '178', '126', '292', '102', '6', '13', '301']
['319', '209', '4', '175', '307', '263', '225', '211', '37', '372', '66', '33', '388', '395', '265', '261', '346', '362', '34', '62']
['50', '389', '373', '103', '84', '143', '16', '286', '386', '363', '79', '335', '107', '187', '181', '195', '17', '273', '223', '30']
['188', '366', '204', '44', '46', '101', '60', '334', '322', '150', '71', '14', '279', '180', '317', '238', '296', '153', '278', '344']
['38', '142', '290', '237', '27', '155', '333', '287', '77', '133', '21', '375', '120', '255', '81', '277', '163', '376', '343', '326']
['134', '242', '269', '356', '391', '348', '116', '229', '338', '39', '182', '259', '206', '283', '299', '92', '393', '258', '289', '28']
['208', '390', '248', '202', '236', '87', '68', '7', '351', '106', '15', '217', '86', '337', '110', '369', '342', '321', '115', '397']
['396', '100', '99', '167', '9', '135', '339', '368', '157', '47', '139', '160', '80', '105', '314', '370', '380', '355', '168', '268']
['382', '222', '57', '124', '52', '364', '309', '26', '197', '70', '199', '56', '83', '384', '45', '53', '189', '341', '285', '185']
['154', '231', '72', '284', '149', '59', '302', '353', '260', '104', '54', '22', '275', '214', '20', '191', '239', '2', '213', '300']
['190', '252', '156', '148', '331', '298', '18', '312', '183', '226', '310', '398', '354', '98', '94', '73', '203', '320', '272', '132']
