['376', '195', '109', '132', '107', '51', '5', '310', '59', '346', '88', '32', '305', '178', '40', '247', '255', '110', '362', '196']
['307', '257', '186', '172', '236', '99', '349', '3', '246', '194', '180', '285', '398', '129', '167', '39', '269', '283', '56', '58']
['271', '0', '163', '258', '270', '37', '189', '142', '325', '106', '127', '173', '47', '34', '312', '386', '343', '103', '97', '23']
['377', '311', '94', '385', '394', '20', '340', '348', '295', '66', '141', '36', '279', '365', '230', '344', '179', '296', '252', '98']
['289', '27', '234', '207', '268', '316', '286', '124', '235', '290', '251', '116', '113', '256', '390', '273', '352', '275', '314', '30']
['277', '327', '245', '293', '229', '262', '11', '45', '166', '52', '77', '198', '70', '85', '288', '383', '96', '115', '253', '364']
['379', '35', '369', '336', '219', '397', '241', '65', '165', '119', '105', '381', '326', '210', '239', '108', '294', '14', '55', '205']
['360', '155', '329', '372', '44', '117', '7', '224', '151', '395', '334', '184', '67', '135', '24', '384', '330', '145', '80', '301']
['338', '75', '6', '374', '83', '131', '319', '216', '332', '276', '79', '281', '320', '185', '76', '264', '387', '370', '68', '392']
['291', '90', '86', '222', '156', '182', '33', '19', '292', '69', '133', '171', '161', '89', '190', '355', '102', '136', '104', '12']
['345', '202', '170', '263', '242', '211', '304', '225', '193', '213', '42', '120', '64', '160', '220', '278', '217', '318', '259', '91']
['274', '49', '13', '16', '164', '208', '214', '354', '154', '15', '57', '380', '203', '306', '78', '144', '359', '300', '100', '309']
['391', '200', '143', '95', '169', '321', '315', '341', '1', '250', '324', '87', '63', '150', '350', '60', '373', '159', '313', '134']
['389', '82', '244', '146', '111', '272', '361', '50', '308', '122', '152', '351', '139', '140', '368', '328', '183', '29', '43', '130']
['267', '121', '371', '4', '260', '74', '339', '92', '158', '335', '62', '126', '261', '25', '22', '353', '212', '174', '223', '206']
['357', '204', '299', '18', '249', '128', '282', '10', '175', '9', '188', '396', '240', '101', '218', '303', '191', '254', '162', '2']
['298', '157', '367', '226', '266', '337', '232', '237', '61', '26', '8', '192', '93', '168', '228', '231', '181', '366', '17', '243']
['284', '112', '147', '54', '265', '375', '388', '399', '378', '46', '287', '84', '227', '363', '297', '153', '81', '118', '197', '187']
['280', '48', '148', '176', '358', '114', '215', '177', '138', '347', '149', '41', '248', '221', '209', '53', '201', '125', '322', '38']
['382', '317', '323', '238', '393', '137', '72', '123', '28', '21', '31', '233', '302', '342', '333', '71', '331', '356', '199', '73']
