['493', '126', '23', '199', '349', '446', '63', '213', '472', '347', '37', '366', '163', '228', '478', '216', '291', '204', '169', '101', '183', '372', '292', '318', '55']
['374', '131', '90', '409', '242', '143', '479', '389', '476', '61', '489', '36', '269', '96', '7', '462', '209', '34', '48', '308', '394', '232', '424', '387', '100']
['344', '184', '6', '487', '407', '267', '237', '248', '67', '103', '4', '346', '82', '211', '164', '311', '224', '288', '268', '285', '421', '38', '155', '140', '369']
['301', '92', '21', '364', '497', '200', '123', '71', '214', '444', '15', '273', '124', '319', '108', '259', '144', '298', '188', '373', '324', '9', '427', '77', '89']
['79', '455', '385', '341', '401', '186', '360', '116', '196', '496', '465', '179', '386', '81', '265', '422', '477', '195', '258', '306', '174', '348', '173', '47', '78']
['69', '483', '482', '266', '84', '137', '87', '280', '456', '257', '437', '307', '276', '430', '264', '249', '236', '481', '220', '363', '171', '309', '10', '439', '459']
['494', '304', '391', '222', '251', '380', '227', '45', '129', '467', '281', '486', '125', '215', '388', '412', '434', '111', '218', '234', '3', '433', '442', '378', '413']
['473', '396', '359', '491', '229', '127', '270', '393', '2', '115', '121', '44', '68', '193', '283', '406', '20', '337', '282', '72', '278', '187', '332', '13', '56']
['415', '336', '382', '95', '305', '175', '335', '166', '440', '154', '51', '294', '355', '316', '1', '447', '464', '85', '74', '165', '250', '28', '357', '241', '35']
['397', '436', '219', '325', '274', '117', '262', '338', '485', '379', '25', '150', '194', '410', '191', '119', '212', '42', '134', '461', '244', '206', '329', '452', '60']
['395', '54', '454', '141', '350', '312', '321', '453', '168', '345', '176', '376', '287', '31', '399', '429', '132', '252', '112', '358', '420', '330', '19', '153', '463']
['384', '414', '326', '300', '331', '260', '94', '327', '279', '317', '75', '475', '408', '189', '432', '431', '105', '202', '238', '185', '33', '130', '106', '172', '253']
['367', '498', '139', '495', '88', '107', '201', '14', '167', '371', '29', '474', '70', '290', '356', '398', '91', '303', '41', '297', '98', '158', '17', '302', '83']
['296', '469', '286', '381', '403', '322', '457', '451', '30', '419', '435', '418', '138', '0', '342', '490', '46', '93', '245', '235', '86', '147', '405', '177', '156']
['271', '205', '66', '392', '207', '293', '231', '240', '198', '370', '97', '458', '480', '113', '5', '272', '450', '352', '411', '122', '157', '310', '217', '441', '365']
['254', '49', '315', '425', '152', '448', '59', '256', '255', '390', '190', '261', '57', '289', '120', '136', '128', '145', '208', '284', '104', '243', '73', '400', '43']
['225', '192', '333', '375', '275', '223', '159', '295', '368', '247', '246', '109', '340', '233', '32', '52', '180', '334', '492', '12', '314', '221', '226', '39', '277']
['181', '416', '353', '230', '460', '58', '50', '65', '428', '26', '62', '323', '161', '114', '299', '313', '426', '160', '445', '22', '339', '438', '263', '210', '142']
['178', '343', '449', '351', '151', '135', '118', '471', '148', '110', '11', '16', '377', '362', '53', '488', '40', '484', '466', '361', '404', '443', '18', '170', '197']
['146', '133', '468', '76', '182', '470', '102', '149', '383', '417', '203', '354', '64', '402', '162', '320', '27', '8', '499', '80', '239', '99', '423', '328', '24']
