['52', '229', '89', '9', '289', '349', '149', '269', '249', '309', '109', '129', '189', '29', '169', '69', '329', '331', '51', '151']
['46', '111', '11', '131', '211', '91', '71', '351', '251', '291', '271', '311', '217', '297', '97', '157', '257', '177', '357', '277']
['39', '139', '159', '199', '339', '179', '79', '319', '119', '359', '279', '259', '299', '399', '219', '99', '239', '59', '382', '389']
['38', '378', '374', '370', '373', '372', '371', '364', '361', '365', '366', '367', '381', '398', '394', '388', '385', '390', '392', '384']
['36', '156', '216', '136', '236', '176', '276', '96', '296', '56', '76', '196', '256', '316', '336', '356', '116', '138', '98', '358']
['35', '375', '355', '368', '115', '235', '363', '215', '379', '275', '369', '95', '376', '377', '335', '135', '360', '315', '362', '295']
['34', '108', '68', '268', '28', '48', '128', '168', '228', '8', '88', '188', '288', '208', '148', '248', '241', '261', '221', '101']
['33', '333', '61', '161', '21', '141', '41', '181', '81', '121', '281', '1', '201', '144', '264', '84', '184', '44', '224', '24']
['32', '192', '232', '172', '252', '92', '112', '272', '332', '152', '132', '212', '292', '72', '352', '325', '165', '225', '245', '65']
['25', '125', '5', '145', '285', '85', '345', '185', '205', '265', '105', '45', '341', '354', '348', '350', '347', '353', '344', '346']
['23', '303', '310', '243', '263', '63', '304', '305', '306', '307', '323', '301', '163', '314', '183', '123', '312', '313', '283', '203']
['22', '302', '122', '42', '142', '162', '82', '102', '62', '262', '202', '2', '322', '222', '342', '182', '242', '282', '209', '49']
['20', '300', '340', '40', '160', '280', '0', '200', '100', '180', '240', '60', '140', '80', '220', '120', '260', '104', '164', '244']
['19', '284', '204', '4', '124', '64', '7', '227', '287', '127', '167', '207', '87', '267', '27', '147', '67', '247', '107', '47']
['18', '58', '238', '118', '198', '78', '278', '318', '218', '258', '158', '178', '298', '338', '223', '83', '343', '143', '3', '43']
['17', '77', '37', '117', '237', '317', '337', '197', '57', '137', '308', '103', '324', '327', '321', '328', '330', '334', '326', '320']
['16', '187', '286', '126', '106', '226', '6', '186', '66', '86', '206', '166', '26', '266', '246', '146', '274', '74', '294', '154']
['15', '155', '75', '195', '55', '395', '255', '175', '387', '397', '396', '391', '380', '393', '386', '383', '31', '191', '231', '171']
['14', '54', '234', '134', '174', '94', '254', '194', '214', '114', '250', '30', '110', '210', '10', '90', '50', '150', '190']
['13', '273', '53', '253', '193', '73', '173', '213', '113', '153', '293', '270', '233', '93', '133', '290', '70', '170', '130', '230']
['12']
